# InferenceX data: https://github.com/SemiAnalysisAI/InferenceX, Copyright 2026 SemiAnalysis LLC, Apache License 2.0; rows with Source=InferenceX are derived from it.
Series,Source,Hardware,Framework,Precision,SpecDecoding,Topology,Chips,Concurrency,P90Interactivity,TokenThroughputPerChip,InputThroughputPerChip,OutputThroughputPerChip,P90ITLSeconds,MedianInteractivity,OnParetoFrontier,Reference,Provenance
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,10,103.41261633919338,14545.1019,14435.77384,109.32806,0.00967,147.71048744460856,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,16,44.943820224719104,16923.34043,16796.32031,127.02012,0.02225,84.60236886632825,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,24,36.603221083455345,25736.54453,25554.12661,182.41792,0.02732,65.27415143603133,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,32,25.933609958506224,29923.60044,29721.24018,202.36026,0.03856,55.52470849528039,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,40,27.35229759299781,32778.2858,32536.71796,241.56784,0.03656,44.464206313917295,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X ATOM (InferenceX),InferenceX,mi355x,atom,fp4,mtp,TP4,4,48,19.376089905057157,34194.59068,33964.38007,230.21061,0.05161,35.050823694356815,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35693365964/attempts/3
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP8,8,1,211.864406779661,2910.24864,2899.98312,10.26552,0.00472,225.73363431151242,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP8,8,2,194.17475728155338,2940.65515,2927.61392,13.04123,0.00515,224.71910112359552,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP8,8,4,179.2114695340502,4067.13569,4050.10204,17.03365,0.00558,221.72949002217294,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,4,138.12154696132598,8257.69962,8226.64551,31.05411,0.00724,174.52006980802793,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,8,91.15770282588878,12626.40067,12564.04289,62.35778,0.01097,136.79890560875515,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,10,87.79631255487269,15749.85941,15677.82036,72.03905,0.01139,125.15644555694617,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,12,73.1528895391368,15558.73204,15486.04854,72.6835,0.01367,120.7729468599034,False,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,14,62.695924764890286,18409.57202,18320.46592,89.1061,0.01595,100.70493454179255,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
MI355X SGLang (InferenceX),InferenceX,mi355x,sglang,fp4,mtp,TP4,4,16,36.127167630057805,18646.35748,18559.43349,86.92399,0.02768,77.27975270479135,True,2026-09-22,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35665129473/attempts/1
"MI355X SGLang 2P1D, TileLang DSA (09-21)",local,mi355x,sglang,fp4,mtp,2P1D,24,80,45.22840343735866,14821.960181249999,14706.023333333333,115.93684791666668,0.02211,64.26735218508998,True,2p1d-20260921T151735Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep/results/c080/agentx_conc80.json
"MI355X SGLang 2P1D, TileLang DSA (09-21)",local,mi355x,sglang,fp4,mtp,2P1D,24,112,37.85011355034065,16886.233509583333,16749.39982916667,136.83368041666668,0.02642,56.02240896358543,True,2p1d-20260921T151735Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep/results/c112/agentx_conc112.json
"MI355X SGLang 2P1D, TileLang DSA (09-21)",local,mi355x,sglang,fp4,mtp,2P1D,24,144,32.33107015842224,18356.227202083333,18203.41584875,152.81135333333333,0.03093,55.21811154058531,True,2p1d-20260921T151735Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep/results/c144/agentx_conc144.json
"MI355X SGLang 2P1D, TileLang DSA (09-21)",local,mi355x,sglang,fp4,mtp,2P1D,24,192,27.233115468409583,17504.510095,17365.053962083333,139.45613291666666,0.03672,61.087354917532075,False,2p1d-20260921T151735Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep/results/c192/agentx_conc192.json
"MI355X SGLang 2P1D, TileLang DSA (09-21)",local,mi355x,sglang,fp4,mtp,2P1D,24,256,34.67406380027739,14346.408924583333,14231.044621666668,115.36430250000001,0.02884,58.37711617046118,False,2p1d-20260921T151735Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep/results/c256/agentx_conc256.json
"MI355X SGLang 2P1D, Triton DSA (09-22, new)",local,mi355x,sglang,fp4,mtp,2P1D,24,80,43.196544276457885,14975.267436249998,14859.7566325,115.51080375,0.02315,62.421972534332085,True,2p1d-triton-dsa-20260922T124849Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c080/agentx_conc80.json
"MI355X SGLang 2P1D, Triton DSA (09-22, new)",local,mi355x,sglang,fp4,mtp,2P1D,24,112,36.496350364963504,17581.16330041667,17440.646474999998,140.51682541666665,0.0274,57.077625570776256,True,2p1d-triton-dsa-20260922T124849Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c112/agentx_conc112.json
"MI355X SGLang 2P1D, Triton DSA (09-22, new)",local,mi355x,sglang,fp4,mtp,2P1D,24,144,31.25,18519.347287916666,18365.20062583333,154.14666208333333,0.032,59.41770647653,True,2p1d-triton-dsa-20260922T124849Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c144/agentx_conc144.json
"MI355X SGLang 2P1D, Triton DSA (09-22, new)",local,mi355x,sglang,fp4,mtp,2P1D,24,192,27.359781121751027,18806.705405,18657.266841666667,149.43856375,0.03655,60.71645415907712,True,2p1d-triton-dsa-20260922T124849Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c192/agentx_conc192.json
"MI355X SGLang 2P1D, Triton DSA (09-22, new)",local,mi355x,sglang,fp4,mtp,2P1D,24,256,28.216704288939052,15618.004439999999,15491.918698333333,126.08574166666666,0.03544,58.65102639296188,False,2p1d-triton-dsa-20260922T124849Z,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/2p1d-sweep-triton-dsa-20260922/results/c256/agentx_conc256.json
"MI355X ATOM DCP 8P4D + Infera, decode mem 0.95, block 64 (09-24)",local,mi355x,atom,fp4,mtp,1P1D,12,48,65.23157208088715,17528.5168475,17406.3674425,122.14940416666667,0.01533,71.63323782234957,True,8p4d-atom-infera,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/8p4d-atom-infera/results/c048/agentx_conc48.json
"MI355X ATOM DCP 8P4D + Infera, decode mem 0.95, block 64 (09-24)",local,mi355x,atom,fp4,mtp,1P1D,12,80,46.125461254612546,24223.03683083333,24016.59813166667,206.43869833333335,0.02168,53.7345513164965,True,8p4d-atom-infera,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/8p4d-atom-infera/results/c080/agentx_conc80.json
"MI355X ATOM DCP 8P4D + Infera, decode mem 0.95, block 64 (09-24)",local,mi355x,atom,fp4,mtp,1P1D,12,120,46.68534080298786,22026.781391666667,21825.908020833333,200.87337083333333,0.02142,56.27462014631401,True,8p4d-atom-infera,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yaocheng/8p4d-atom-infera/results/c120/agentx_conc120.json
"MI355X SGLang 1P1D baseline, TileLang DSA (09-20)",local,mi355x,sglang,fp4,mtp,1P1D,16,80,46.99248120300752,19513.22562875,19355.56321625,157.6624125,0.02128,67.15916722632639,True,glm52.p8d8.agentx-sweep.packup_20260920,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c080/agentx_conc80.json
"MI355X SGLang 1P1D baseline, TileLang DSA (09-20)",local,mi355x,sglang,fp4,mtp,1P1D,16,112,45.97701149425288,19013.5333475,18857.235985,156.2973625,0.02175,62.814070351758794,False,glm52.p8d8.agentx-sweep.packup_20260920,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c112/agentx_conc112.json
"MI355X SGLang 1P1D baseline, TileLang DSA (09-20)",local,mi355x,sglang,fp4,mtp,1P1D,16,144,50.30181086519115,12554.946256875,12441.4928475,113.45341,0.01988,69.44444444444444,True,glm52.p8d8.agentx-sweep.packup_20260920,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c144/agentx_conc144.json
"MI355X SGLang 1P1D baseline, TileLang DSA (09-20)",local,mi355x,sglang,fp4,mtp,1P1D,16,192,63.492063492063494,7409.19870125,7337.604188125,71.594513125,0.01575,89.04719501335708,True,glm52.p8d8.agentx-sweep.packup_20260920,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c192/agentx_conc192.json
"MI355X SGLang 1P1D baseline, TileLang DSA (09-20)",local,mi355x,sglang,fp4,mtp,1P1D,16,256,72.3589001447178,5328.8754775,5273.746649375,55.1288275,0.01382,98.23182711198429,True,glm52.p8d8.agentx-sweep.packup_20260920,/apps/tas/yaoc/research/topic/glm-5.2-pd-opt/Infera-glm-5.2-2p1d/yihou/glm52.p8d8.agentx-sweep.packup_20260920/results/c256/agentx_conc256.json
