concurrency,internal_tpot_ms,server_mean_tpot_ms,server_p50_tpot_ms,server_p90_tpot_ms,tpot_delta_pct,internal_output_tps,server_output_tps,throughput_delta_pct,server_duration_s,effective_concurrency,accept_length,round
4,6.150485536899941,7.610348553427132,7.507257584012254,8.066036837343704,23.73573611007973,650.3551591174278,525.3011802700829,-19.228567205809643,2436.697361581959,3.999798506732084,3.6097252395806034,original_off_c4_retry5_yihou
8,7.99908359490073,9.801404097270778,9.843068162301773,9.984609682188562,22.531587287311194,1000.1145637607605,815.1442417572706,-18.49491335352027,1570.2742342147976,7.998047679795495,3.611753594586975,original_off_c8_retry4_yihou
16,10.286110925300454,10.336847771447287,10.316232847857743,10.431683226318547,0.49325587207149635,1555.4955722522159,1544.2165776787458,-0.7251061831785921,828.899273911491,15.987327804161724,3.6133550755098645,original_off_c16_retry1_yihou
20,11.667058517300756,11.584182737981855,11.680168367203997,11.725131698902418,-0.7103399644049602,1714.2281381671787,1595.5111278691054,-6.925391530733094,802.2507506478578,18.501936863707208,3.612244782869823,original_off_c20_retry5_yihou
24,12.632195279200095,12.512326400843472,12.767543310927476,12.863532025752628,-0.9489156532752174,1899.9072979435246,1759.402082257143,-7.395372176235416,727.5198846859857,22.026562754011202,3.6056488682840873,original_off_c24_retry5_yihou
