dpa,concurrency,status,internal_tpot_ms,internal_tps
off,4,not_run,6.150485536899941,650.3551591174278
off,8,not_run,7.99908359490073,1000.1145637607605
off,16,starting,10.286110925300454,1555.4955722522159
off,20,not_run,11.667058517300756,1714.2281381671787
off,24,not_run,12.632195279200095,1899.9072979435246
on,4,not_run,7.199073620900163,555.6270446224225
on,8,not_run,8.870461466099368,901.8696525061239
on,16,not_run,10.98085749430029,1457.0811075824397
on,20,not_run,11.807832517800852,1693.7909620456655
on,24,not_run,12.276834153399978,1954.9013776775164
