Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Output Token (ms),89364.34,2032.02,744400.46,65235968.00,2568.40,4144.77,6791.87,23808.92,60062.01,133018.52,201178.82,264351.74,450921.75,92092.95
Time to First Token (ms),82972.14,394.39,578584.26,555664402.92,2404.88,3733.17,5736.01,17914.40,54001.92,116702.57,198486.73,255859.19,422612.23,88958.10
Time to Second Token (ms),64.20,0.00,6481.85,429641.26,0.00,0.65,1.24,2.01,4.22,59.56,98.54,264.58,868.00,203.12
Tokens In Flight (tokens),21792313.62,0.00,28610766.92,,,,,,24227777.12,,27021126.72,27429626.26,27928424.27,6766235.83
Usage Completion Tokens (tokens),942.79,1.00,59903.00,6313869.00,8.00,51.80,102.00,176.00,409.00,977.00,1990.40,3437.00,8548.84,2072.03
Usage Prompt Cache Read Tokens (tokens),114759.43,64.00,752640.00,605585536.00,12208.64,23744.00,23744.00,39488.00,73856.00,128768.00,255923.20,368934.40,673930.24,124064.73
Usage Prompt Tokens (tokens),103227.00,151.00,754580.00,691311198.00,722.60,2966.00,4899.80,32860.00,64735.00,122702.00,241089.00,347694.20,669638.08,120661.60
Usage Total Tokens (tokens),104169.79,169.00,754869.00,697625067.00,815.80,4023.80,5762.00,33520.00,65586.00,123745.00,243146.40,349520.20,671839.44,120984.88

Metric,Value
Benchmark Duration (sec),3628.76
Input Token Throughput (tokens/sec),189920.64
OSL Mismatch Count,246.00
Output Token Throughput (tokens/sec),1734.58
Overall Usage Prompt Cache Read % (%),87.60
Request Count,6697.00
Request Throughput (requests/sec),1.84
Theoretical Prefix Cache Hit (%),95.85
Total Input Sequence Length (tokens),691311198.00
Total Output Sequence Length (tokens),6313869.00
Total Output Tokens (tokens),6313869.00
Total Token Throughput (tokens/sec),191655.22
Total Usage Completion Tokens (tokens),6313869.00
Total Usage Prompt Cache Read Tokens (tokens),605585536.00
Total Usage Prompt Tokens (tokens),691311198.00
Total Usage Total Tokens (tokens),697625067.00
