Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Token (ms),12039.10,255.81,323182.41,160565530.81,1046.16,2188.61,3078.92,5479.09,8976.37,14088.73,22997.81,32627.49,57171.30,13548.37
Time to Second Token (ms),104.75,0.00,15598.80,1396434.80,0.00,0.18,2.31,3.36,4.55,6.39,58.86,197.94,2869.43,680.13
Tokens In Flight (tokens),16826277.27,0.00,25361218.47,,,,,,17921700.96,,21275331.19,22178199.53,24044690.46,5024366.80
Usage Completion Tokens (tokens),998.16,1.00,59903.00,13312495.00,12.00,79.00,109.00,189.00,435.00,1018.00,2235.80,3775.20,9139.44,1967.21
Usage Prompt Cache Read Tokens (tokens),132273.58,64.00,799104.00,1505670208.00,15860.48,23744.00,29760.00,51360.00,96384.00,154304.00,265971.20,413177.60,679496.96,128566.64
Usage Prompt Tokens (tokens),118904.58,151.00,950587.00,1585830354.00,1112.72,2967.00,8405.00,41033.00,84853.00,146433.00,248883.80,375314.00,674051.84,126593.43
Usage Total Tokens (tokens),119902.74,168.00,959120.00,1599142849.00,1409.40,4081.00,8998.20,41619.00,85714.00,147577.00,250038.80,376365.40,678014.64,126890.57

Metric,Value
Benchmark Duration (sec),3629.88
Input Token Throughput (tokens/sec),435667.48
OSL Mismatch Count,132.00
Output Token Throughput (tokens/sec),3657.28
Overall Usage Prompt Cache Read % (%),94.95
Request Count,13337.00
Request Throughput (requests/sec),3.66
Theoretical Prefix Cache Hit (%),96.45
Total Input Sequence Length (tokens),1585830354.00
Total Output Sequence Length (tokens),13312495.00
Total Output Tokens (tokens),13312495.00
Total Token Throughput (tokens/sec),439324.76
Total Usage Completion Tokens (tokens),13312495.00
Total Usage Prompt Cache Read Tokens (tokens),1505670208.00
Total Usage Prompt Tokens (tokens),1585830354.00
Total Usage Total Tokens (tokens),1599142849.00
