Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Token (ms),5299.42,289.30,24786.98,381558.41,362.64,473.17,551.50,943.33,2502.79,7804.55,14457.98,16186.12,24085.01,6053.82
Time to Second Token (ms),50.09,39.02,155.23,3606.76,40.27,41.50,42.19,43.46,46.83,53.83,56.07,58.58,90.16,13.73
Tokens In Flight (tokens),144366.52,0.00,447600.00,,,,,,123047.21,,291621.74,324732.00,332083.67,95758.76
Usage Completion Tokens (tokens),1236.88,8.00,12569.00,89055.00,8.00,15.30,37.00,81.25,229.00,628.50,2168.80,8069.65,11119.18,2651.96
Usage Prompt Cache Read Tokens (tokens),50028.31,17536.00,118528.00,2601472.00,20343.04,24009.60,28243.20,35520.00,47008.00,61536.00,75027.20,81680.00,111184.00,20398.25
Usage Prompt Tokens (tokens),85313.97,19943.00,244906.00,6142606.00,24145.49,29930.45,33585.70,49899.00,69971.00,108781.75,156256.30,197662.65,244873.34,51633.21
Usage Total Tokens (tokens),86550.85,20300.00,245010.00,6231661.00,25189.06,30098.00,36653.80,51853.75,70334.00,115797.25,156361.80,197765.65,245008.58,52032.22

Metric,Value
Benchmark Duration (sec),906.96
Completed Requests (Success + Error),73.00
Context Overflow Count,0.00
Error Request Count,1.00
Input Token Throughput (tokens/sec),6771.71
Maximum Response Timestamp (ns),1785816952296099328.00
Minimum Request Timestamp (ns),1785816045336608768.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),98.18
Request Count,72.00
Request Error Rate (%),1.37
Request Throughput (requests/sec),0.08
Theoretical Prefix Cache Hit (%),42.47
Total Input Sequence Length (tokens),6142606.00
Total Output Sequence Length (tokens),89055.00
Total Output Tokens (tokens),89055.00
Total Token Throughput (tokens/sec),6869.89
Total Usage Completion Tokens (tokens),89055.00
Total Usage Prompt Cache Read Tokens (tokens),2601472.00
Total Usage Prompt Tokens (tokens),6142606.00
Total Usage Total Tokens (tokens),6231661.00
