concurrency,local_batch,ep1_tpot_ms,ep1_tok_s,ep1_launch_wall_s,ep4_tpot_ms,ep4_tok_s,tpot_delta_pct,tok_s_delta_pct
4,1,6.245638818759471,640.4468967986998,958,7.205778215173632,555.1100631402954,-13.32,15.37
8,2,7.814737337362021,1023.7068316745905,171,,,,
16,4,9.821627188567073,1629.0579649189801,190,10.968558615352958,1458.7149105995031,-10.46,11.68
20,5,10.714399154949934,1866.6469029913098,196,,,,
24,6,11.361972574423998,2112.309270489213,203,12.321297877002507,1947.8467479303126,-7.79,8.44
32,8,12.757144562341272,2508.3983209270114,219,13.397673799656332,2388.4743335683274,-4.78,5.02
40,10,14.3613898829557,2785.24574055834,237,15.2487355905585,2623.168312051174,-5.82,6.18
48,12,15.429530137684196,3110.9178031784368,259,16.43082824163139,2921.337822665607,-6.09,6.49
