# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://inferencex.semianalysis.com/inference/glm-5-3).
# Official API snapshot retrieved 2026-09-09; latest included benchmark date 2026-09-03; 58 rows.
# Attribution to InferenceX is required for derivative work.
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Throughput/Chip (tok/s),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Mean TTFT (s),Median TTFT (s),P99 TTFT (s),Std TTFT (s),Mean TPOT (s),Median TPOT (s),P99 TPOT (s),Std TPOT (s),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (s),Median ITL (s),P99 ITL (s),Std ITL (s),Mean E2E Latency (s),Median E2E Latency (s),P99 E2E Latency (s),Std E2E Latency (s),Disaggregated,Num Prefill Chips,Num Decode Chips,Spec Decoding,EP,DP Attention,Is Multinode,Run URL
GLM-5.2,,,gb200,gb200_dynamo-sglang,dynamo-sglang,fp4,8,8,2026-08-19,7231.44617,204.91803278688525,7231.44617,52.59494,7178.85123,0.42129,0.25431,,0.85817,0.00391,0.00354,,0.00255,255.10204081632654,282.4858757062147,,354.96541,0.00392,0.00354,,0.00256,4.59337,2.10708,,6.91721,false,,,mtp,1,false,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,,,gb200,gb200_dynamo-sglang,dynamo-sglang,fp4,24,48,2026-08-19,10498.95515,168.63406408094434,10498.95515,73.0988,10425.85636,6.81533,2.82394,,10.55615,0.00522,0.00487,,0.01077,191.20458891013382,204.91803278688525,,168.37494,0.00523,0.00488,,0.01077,11.83671,6.53458,,14.86954,true,8,16,mtp,8,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,,,gb200,gb200_dynamo-sglang,dynamo-sglang,fp4,32,45,2026-08-19,8901.64728,191.93857965451056,8901.64728,56.96127,8844.68602,3.34586,2.11831,,4.55692,0.00472,0.00443,,0.01188,211.41649048625794,225.22522522522522,,404.55044,0.00473,0.00444,,0.01188,8.03582,4.87351,,11.15008,true,8,24,mtp,8,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,,,gb200,gb200_dynamo-sglang,dynamo-sglang,fp4,32,128,2026-08-19,16607.67409,91.49130832570906,16607.67409,137.31625,16470.35784,7.09526,3.5445,,13.28896,0.01018,0.00973,,0.00906,98.0392156862745,102.7749229188078,,100.0712,0.0102,0.00973,,0.00906,17.3225,9.89529,,24.21616,true,16,16,mtp,16,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,8,2,2026-08-16,2861.82891,297.6190476190476,2861.82891,22.87458,2838.95433,0.40748,0.25236,,0.68064,0.00303,0.00283,,0.00163,327.86885245901635,352.11267605633805,,81.02712,0.00305,0.00284,,0.00162,4.83939,1.82997,,7.1914,false,,,mtp,1,false,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,8,4,2026-08-16,4137.67746,270.27027027027026,4137.67746,28.5028,4109.17465,0.42127,0.24694,,0.82886,0.0033,0.00298,,0.00302,301.2048192771084,334.44816053511704,,51.76547,0.00332,0.00299,,0.00303,4.45796,1.69996,,6.93491,false,,,mtp,1,false,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,12,48,2026-08-16,17868.30088,126.42225031605562,17868.30088,128.78304,17739.51783,9.45659,4.94331,,13.95951,0.00671,0.00652,,0.01106,148.8095238095238,153.1393568147014,,580.38351,0.00672,0.00653,,0.01106,16.03306,9.8976,,19.82025,true,4,8,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,20,48,2026-08-16,10267.61303,168.91891891891893,10267.61303,75.77475,10191.83828,11.72706,5.59745,,27.62562,0.0052,0.00483,,0.01243,191.93857965451056,206.61157024793388,,896.5015,0.00521,0.00484,,0.01243,16.71733,9.1038,,29.86613,true,4,16,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,28,45,2026-08-16,9108.724,184.50184501845018,9108.724,60.00937,9048.71462,5.66837,3.30113,,9.71984,0.00483,0.00443,,0.01368,206.61157024793388,225.22522522522522,,100.33047,0.00484,0.00444,,0.01368,10.46327,6.60718,,14.07776,true,4,24,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,32,128,2026-08-16,18210.30959,91.57509157509158,18210.30959,148.31334,18061.99625,3.92367,2.41404,,7.27299,0.01024,0.0097,,0.01594,97.46588693957115,103.09278350515464,,50.2823,0.01026,0.0097,,0.01595,14.21418,8.07603,,21.1041,true,16,16,mtp,16,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-sglang,dynamo-sglang,fp4,32,192,2026-08-16,23267.05417,86.50519031141867,23267.05417,177.87387,23089.1803,11.27287,5.45212,,17.14507,0.01062,0.01015,,0.01117,93.98496240601504,98.42519685039369,,46.15772,0.01064,0.01016,,0.01118,21.86414,12.66612,,28.27547,true,16,16,mtp,16,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,8,1,2026-09-01,2323.06148,252.52525252525254,2323.06148,16.77704,2306.28444,1.11078,1.03407,,0.7742,0.00367,0.00356,,0.00051,271.7391304347826,280.1120448179272,,24.45595,0.00368,0.00357,,0.00052,7.87708,4.24775,,9.12854,false,,,mtp,1,false,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33219706372/attempts/2
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,12,1,2026-09-03,1439.83896,293.2551319648094,1439.83896,10.79634,1429.04262,2.43041,2.19582,,2.90323,0.00331,0.00326,,0.00075,299.4011976047904,305.81039755351685,,21.51173,0.00334,0.00327,,0.00099,8.58285,4.66569,,8.89462,true,4,8,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,12,20,2026-09-03,9113.25136,188.67924528301887,9113.25136,65.20881,9048.04255,6.2626,4.31051,,8.47872,0.00489,0.00482,,0.00177,203.66598778004072,207.0393374741201,,25.67694,0.00491,0.00483,,0.00186,11.21531,7.76306,,12.91559,true,4,8,mtp,8,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,20,30,2026-09-03,8759.48327,213.67521367521366,8759.48327,55.48177,8704.0015,5.32577,2.90784,,6.9852,0.00441,0.00436,,0.00139,226.2443438914027,228.8329519450801,,393.57697,0.00442,0.00437,,0.00149,9.62992,6.4795,,10.34671,true,4,16,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,28,60,2026-09-03,12670.69771,152.67175572519082,12670.69771,90.26846,12580.42925,4.36952,2.59046,,5.86742,0.006,0.00598,,0.00189,166.38935108153078,166.9449081803005,,24.29679,0.00601,0.00599,,0.00196,10.30024,6.71691,,13.42962,true,12,16,mtp,4,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,32,227,2026-09-03,30081.56242,89.44543828264759,30081.56242,226.12343,29855.43898,6.49277,2.18245,,19.63741,0.01081,0.0107,,0.00213,92.42144177449168,93.37068160597572,,6.73084,0.01082,0.01071,,0.00223,17.32016,8.29011,,30.35745,true,24,8,mtp,8,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,36,152,2026-09-03,20520.79138,116.82242990654206,20520.79138,158.24853,20362.54285,3.71188,1.35184,,13.83959,0.00819,0.00809,,0.00112,121.8026796589525,123.60939431396787,,7.53461,0.00821,0.00809,,0.00118,11.97225,5.78884,,21.88663,true,20,16,mtp,16,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,gb300,gb300_dynamo-trt,dynamo-trt,fp4,48,259,2026-09-03,26227.36746,101.11223458038423,26227.36746,190.45062,26036.91683,4.68565,1.6445,,19.55955,0.00887,0.00863,,0.00185,112.48593925759279,115.74074074074073,,9.67989,0.00889,0.00864,,0.00197,13.39416,6.51184,,27.1213,true,32,16,mtp,16,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/33716849615/attempts/3
GLM-5.2,,,h200,h200_dynamo-sglang,dynamo-sglang,fp8,32,8,2026-08-25,668.36613,84.74576271186442,668.36613,6.26811,662.09803,6.31525,1.43695,,13.83032,0.01178,0.0107,,0.01576,84.88964346349745,93.45794392523365,,9.49696,0.01178,0.0107,,0.01577,14.4227,6.91025,,21.86104,true,16,16,mtp,1,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32793067438/attempts/1
GLM-5.2,,,h200,h200_dynamo-sglang,dynamo-sglang,fp8,32,12,2026-08-25,843.87295,84.45945945945947,843.87295,7.91339,835.95957,12.13155,3.78783,,19.71421,0.01178,0.01074,,0.0213,84.81764206955046,93.1098696461825,,217.64541,0.01179,0.01074,,0.02131,21.17219,11.12265,,30.36234,true,16,16,mtp,1,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32793067438/attempts/1
GLM-5.2,,,h200,h200_dynamo-sglang,dynamo-sglang,fp8,32,16,2026-08-25,608.32897,82.10180623973727,608.32897,6.05937,602.2696,19.73994,4.65742,,43.4798,0.01282,0.01074,,0.02959,77.9423226812159,93.1098696461825,,18.43026,0.01283,0.01074,,0.0296,29.50922,12.39346,,51.30489,true,16,16,mtp,1,true,true,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32793067438/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,1,2026-08-08,688.24109,27.085590465872155,688.24109,3.26048,684.98061,5.57183,2.13356,,15.12307,0.03133,0.02994,,0.00907,31.90810465858328,33.344448149383126,,7.2669,0.03134,0.02999,,0.00906,34.25922,16.10242,,45.63228,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,2,2026-08-08,778.46172,20.712510356255176,778.46172,5.18501,773.27671,5.60312,2.64909,,7.31128,0.03557,0.034,,0.0122,28.1135788585887,29.41176470588235,,13.24148,0.03557,0.034,,0.0122,49.88012,26.01047,,74.43143,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,3,2026-08-08,813.03051,16.78697330871244,813.03051,6.62031,806.4102,3.06264,1.62577,,4.07816,0.04245,0.0381,,0.01637,23.54603249352484,26.246719160104984,,7.57611,0.04247,0.0381,,0.01636,42.52221,10.6745,,83.79317,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,4,2026-08-08,725.85117,10.990218705352236,725.85117,5.99649,719.85467,21.11662,1.80187,,44.83997,0.06137,0.03655,,0.12713,16.291951775822746,27.359781121751027,,10.26037,0.06138,0.03655,,0.12713,79.16549,9.57899,,152.1881,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,5,2026-08-08,537.28282,8.336112037345782,537.28282,5.02622,532.2566,43.96697,6.45764,,60.97602,0.0695,0.03742,,0.08202,14.386419220256078,26.72367717797969,,10.34345,0.06951,0.03742,,0.08202,155.17201,90.17258,,201.93907,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,6,2026-08-08,415.90038,3.0563281273877565,415.90038,3.78543,412.11496,109.55884,89.79613,,108.86895,0.12824,0.05658,,0.13417,7.797270955165692,17.674089784376104,,10.71042,0.12825,0.05658,,0.13417,275.2233,202.35949,,253.25554,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
GLM-5.2,,,mi325x,mi325x_sglang,sglang,fp8,8,8,2026-08-08,360.8055,1.813532580112802,360.8055,2.26833,358.53717,197.57702,206.80978,,110.73921,0.22425,0.13664,,0.24108,4.459308807134894,7.318501170960187,,2625.56339,0.22425,0.13664,,0.24108,330.11937,264.72427,,266.21501,false,,,mtp,1,false,false,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31229823255/attempts/1
