arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,1,10,0.19,60.63,1462.69,407.08,2367.91,14.59,5060.73
p50,7400,320,8,80,1.00,320.09,7722.20,1953.41,6952.24,18.27,7839.96
p50,7400,320,16,160,1.83,585.33,14121.12,1557.45,5707.45,20.74,9105.44
p50,7400,320,24,240,2.00,640.89,15461.57,2547.51,12312.99,23.72,12191.99
