arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,1,10,0.19,59.86,1444.17,528.46,2478.81,14.43,5131.20
p50,7400,320,8,80,0.83,267.08,6443.34,2661.11,7671.24,21.41,9553.34
p50,7400,320,16,160,1.24,397.26,9583.96,3493.26,11512.35,25.68,14252.26
p50,7400,320,24,240,1.94,622.18,15010.21,1076.86,11668.35,29.90,9039.71
p90,15500,3300,1,10,0.02,67.63,385.30,631.21,644.89,14.61,48818.27
p90,15500,3300,8,80,0.12,410.07,2336.16,2535.89,4462.62,18.74,64805.25
p90,15500,3300,16,160,0.21,678.43,3865.00,1035.54,13319.58,22.44,77763.05
p90,15500,3300,24,240,0.24,780.20,4444.79,7161.47,23724.21,28.08,98349.27
