# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from https://inferencex.semianalysis.com/.
# Official API snapshot retrieved 2026-09-17; latest benchmark 2026-09-17; 82 rows.
Model,Hardware,Framework,Precision,Disaggregated,Prefill GPUs,Decode GPUs,Prefill TP,Decode TP,Prefill EP,Decode EP,Prefill DPA,Decode DPA,Concurrency,Date,P90 Interactivity (tok/s/user),Token Throughput per Chip (tok/s/chip),Run URL
GLM-5.2,b300,sglang,fp8,false,8,0,8,0,1,0,false,false,12,2026-09-16,126.26262626262627,7698.45762,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35015325736/attempts/1
GLM-5.2,b300,sglang,fp8,false,8,0,8,0,1,0,false,false,16,2026-09-16,92.42144177449168,11227.30618,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/35015325736/attempts/1
GLM-5.2,gb200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,2,2026-08-19,298.5074626865672,2802.15508,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,4,2026-08-19,268.0965147453083,4173.34067,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb200,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,8,2026-08-19,204.91803278688525,7231.44617,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb200,dynamo-sglang,fp4,true,8,16,8,4,8,1,true,false,48,2026-08-19,168.63406408094434,10498.95515,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb200,dynamo-sglang,fp4,true,8,24,8,4,8,1,true,false,45,2026-08-19,191.93857965451056,8901.64728,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb200,dynamo-sglang,fp4,true,16,16,8,16,8,16,true,true,128,2026-08-19,91.49130832570906,16607.67409,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/32207758126/attempts/2
GLM-5.2,gb300,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,2,2026-08-16,297.6190476190476,2861.82891,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,false,8,0,8,0,1,0,false,false,4,2026-08-16,270.27027027027026,4137.67746,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,true,4,8,4,4,4,1,true,false,48,2026-08-16,126.42225031605562,17868.30088,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,true,4,16,4,4,4,1,true,false,48,2026-08-16,168.91891891891893,10267.61303,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,true,4,24,4,4,4,1,true,false,45,2026-08-16,184.50184501845018,9108.724,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,true,16,16,8,16,8,16,true,true,128,2026-08-16,91.57509157509158,18210.30959,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-sglang,fp4,true,16,16,8,16,8,16,true,true,192,2026-08-16,86.50519031141867,23267.05417,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/31825558603/attempts/1
GLM-5.2,gb300,dynamo-trt,fp4,true,4,8,4,8,4,1,true,false,1,2026-09-11,323.62459546925567,1685.22729,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
GLM-5.2,gb300,dynamo-trt,fp4,true,4,8,4,8,4,8,true,false,20,2026-09-11,204.08163265306123,10520.94677,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
GLM-5.2,gb300,dynamo-trt,fp4,true,4,16,4,4,4,4,true,false,30,2026-09-11,229.3577981651376,9382.34478,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
GLM-5.2,gb300,dynamo-trt,fp4,true,12,16,4,4,4,4,true,false,60,2026-09-11,166.9449081803005,14238.09564,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
GLM-5.2,gb300,dynamo-trt,fp4,true,16,8,4,8,4,8,true,true,227,2026-09-11,85.9106529209622,45373.63514,https://github.com/SemiAnalysisAI/InferenceX/actions/runs/34413290524/attempts/1
