Point,Model,Hardware,Framework,Topology,Prefill Workers,Prefill TP,Prefill EP,Prefill GPUs,Decode Workers,Decode TP,Decode EP,Decode GPUs,Total GPUs,DP Attention,Concurrency,Token Throughput per Chip (tok/s/chip),P90 Interactivity (tok/s/user),Output Throughput/Chip (tok/s),Input Throughput/Chip (tok/s),Median ITL (s),P90 ITL (s),Median TTFT (s),Records Profiled,Records Total,Records Errored
agentx/c16/bench,GLM-5.2-MXFP4,mi355x,sglang,1P1D pTP4/EP1 dTP8/EP1 DPA,1,4,1,4,1,8,1,8,12,true,16,5290.29351,108.69565217391305,42.754169166666664,5247.539340833334,0.00819,0.0092,1.48012,602,779,1
agentx/c32/bench,GLM-5.2-MXFP4,mi355x,sglang,1P1D pTP4/EP1 dTP8/EP1 DPA,1,4,1,4,1,8,1,8,12,true,32,11804.133974999999,82.98755186721992,89.63515666666666,11714.498818333333,0.00998,0.01205,3.57753,1464,1818,4
agentx/c8/bench,GLM-5.2-MXFP4,mi355x,sglang,1P1D pTP4/EP1 dTP8/EP1 DPA,1,4,1,4,1,8,1,8,12,true,8,2745.3661866666666,130.89005235602093,21.252925833333332,2724.1132608333332,0.00666,0.00764,0.76271,335,422,0
