conc,out_tok_s,req_s,ttft_p50,ttft_p90,ttft_p99,itl_p50,itl_p90,e2e_p50,e2e_p90,e2e_p99,isl_mean,osl_mean,cache_pct
8,258.5,0.25,6698,23775,33681,13.26,18.49,13874,38774,112973,80811,1050,50.8
16,401.7,0.33,19496,42484,83575,14.67,23.28,27589,72252,178618,81173,1233,50.7
