arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,1,10,0.14,44.07,1063.27,536.74,10350.70,17.62,6159.03
p50,7400,320,8,80,0.82,261.57,6310.48,1960.53,17957.89,18.93,7895.91
p50,7400,320,16,160,1.65,527.04,12714.78,1961.55,11398.74,20.08,8304.64
p50,7400,320,24,240,2.30,734.92,17730.06,656.55,11273.19,21.42,7671.35
