arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,8,80,0.86,274.12,6613.10,1977.11,11047.07,19.18,7992.63
p50,7400,320,1,10,0.14,44.52,1073.96,193.25,10196.50,18.35,6049.35
