arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,16,160,1.60,511.46,12338.87,3372.67,7641.77,19.62,9559.58
p50,7400,320,8,80,1.26,404.28,9753.36,352.64,1881.24,17.91,6068.64
p50,7400,320,1,10,0.21,66.45,1603.04,199.26,211.03,14.47,4815.01
