arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,8,80,1.05,336.44,8116.54,589.01,3476.51,20.24,7078.32
p50,7400,320,1,10,0.14,46.07,1111.55,197.63,10137.74,17.61,5823.48
