Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to First Output Token (ms),13664.24,258.03,183711.96,10849407.36,1502.85,2534.16,2962.36,4172.81,7375.99,16031.82,32624.71,44070.12,85750.59,17104.13
Time to First Token (ms),10091.03,218.24,198189.44,98125152.08,1117.26,2137.39,2591.55,3551.18,5461.58,11484.01,23072.97,33439.14,57828.58,12802.42
Time to Second Token (ms),57.82,0.00,4829.55,561860.41,0.00,0.72,1.36,2.05,3.33,54.73,77.61,170.16,1005.68,211.40
Tokens In Flight (tokens),8852256.71,0.00,14388067.61,,,,,,9387210.14,,11666730.40,12260153.84,13272389.18,2850678.61
Usage Completion Tokens (tokens),973.62,1.00,59903.00,9467522.00,7.00,55.00,110.00,196.00,452.00,1058.00,2141.50,3599.55,8028.08,1887.63
Usage Prompt Cache Read Tokens (tokens),138494.31,64.00,839360.00,1122496384.00,14085.12,23744.00,27609.60,45888.00,89664.00,164288.00,288588.80,497523.20,729400.32,146590.49
Usage Prompt Tokens (tokens),121481.26,151.00,841134.00,1181283772.00,726.00,2967.00,3669.30,35901.75,74580.50,144680.75,273857.20,452565.50,718400.30,142083.88
Usage Total Tokens (tokens),122454.88,253.00,841238.00,1190751294.00,894.45,4033.00,4894.50,36467.75,75402.50,145365.50,275361.60,455265.10,718999.87,142303.52

Metric,Value
Benchmark Duration (sec),3627.31
Input Token Throughput (tokens/sec),324528.34
OSL Mismatch Count,283.00
Output Token Throughput (tokens/sec),2600.97
Overall Usage Prompt Cache Read % (%),95.02
Request Count,9724.00
Request Throughput (requests/sec),2.67
Theoretical Prefix Cache Hit (%),96.57
Total Input Sequence Length (tokens),1181283772.00
Total Output Sequence Length (tokens),9467522.00
Total Output Tokens (tokens),9467522.00
Total Token Throughput (tokens/sec),327129.30
Total Usage Completion Tokens (tokens),9467522.00
Total Usage Prompt Cache Read Tokens (tokens),1122496384.00
Total Usage Prompt Tokens (tokens),1181283772.00
Total Usage Total Tokens (tokens),1190751294.00
