round,tp_rank,name,count,total_us,percent_kernel_time,mean_us,p50_us,p90_us,max_us
profile_01,0,MoE expert GEMM,1920,153812.62699999995,30.016255902849732,80.11074322916664,70.86,114.48800000000001,410.002
profile_01,0,Communication / fused allreduce,4095,91285.15900000035,17.814133638562314,22.291858119658205,12.519,44.782999999999994,448.082
profile_01,0,Dense GEMM / linear,6000,89130.05500000052,17.393568991673796,14.855009166666752,11.439,22.559,129.721
profile_01,0,Attention / MLA,2988,83059.79700000008,16.208969124431857,27.797790160642595,14.28,67.77170000000001,71.68
profile_01,0,DSA index / top-k,1488,35687.25199999998,6.964302667436306,23.983368279569877,5.039,43.28,602.643
profile_01,0,MoE routing / sorting,4680,25761.843000000066,5.027377056742164,5.504667307692322,4.919,7.159,12.239
profile_01,0,Tensor / elementwise / indexing,2064,19421.61500000004,3.7900930323921087,9.4096971899225,4.199,17.879,126.36
profile_01,0,Norm / RoPE / KV write,1788,9985.899999999992,1.9487303199123371,5.584955257270689,4.319,9.719,12.639
profile_01,0,Quantization / cast,492,3908.985000000003,0.7628313511633943,7.94509146341464,5.279,10.919,43.199
profile_01,0,Sampling / speculative bookkeeping,66,377.85599999999994,0.07373791483599841,5.725090909090908,4.279,11.199000000000002,14.479
profile_01,1,MoE expert GEMM,1920,149885.14899999983,29.283820335210432,78.06518177083325,69.57900000000001,114.36,383.922
profile_01,1,Communication / fused allreduce,4095,95088.1570000004,18.577854605157025,23.220551159951256,14.64,49.007999999999996,280.681
profile_01,1,Dense GEMM / linear,6000,87924.19400000019,17.178194887167876,14.654032333333365,11.359,22.239,120.76
profile_01,1,Attention / MLA,2988,83841.8820000003,16.380612925526897,28.059532128514157,14.559,68.199,72.48
profile_01,1,DSA index / top-k,1488,35558.52699999997,6.947249430647259,23.896859543010734,4.919,42.799,606.803
profile_01,1,MoE routing / sorting,4680,25511.583999999966,4.984327315327477,5.451193162393155,5.039,7.079,11.079
profile_01,1,Tensor / elementwise / indexing,2064,19526.78600000002,3.815047032765758,9.460652131782954,4.319,17.999,116.52
profile_01,1,Norm / RoPE / KV write,1788,10194.73300000006,1.991796595788439,5.701752237136499,4.559,9.679,12.559
profile_01,1,Quantization / cast,492,3925.6960000000036,0.766983100871818,7.9790569105691125,5.279,11.115000000000002,41.999
profile_01,1,Sampling / speculative bookkeeping,66,379.341,0.07411377153702581,5.747590909090909,4.439,11.139,11.479
profile_01,2,MoE expert GEMM,1920,151126.85800000007,29.460183689126527,78.71190520833336,68.5195,114.64,497.523
profile_01,2,Communication / fused allreduce,4095,90986.40900000045,17.736597966947787,22.218903296703406,10.359,46.3196,410.563
profile_01,2,Dense GEMM / linear,6000,89284.11300000049,17.404757859127482,14.880685500000082,11.439,22.279,131.72
profile_01,2,Attention / MLA,2988,84256.55800000014,16.4247024555592,28.198312583668052,14.199,68.959,72.559
profile_01,2,DSA index / top-k,1488,35726.49400000005,6.964407847402463,24.009740591397883,4.8995,43.0517,608.244
profile_01,2,MoE routing / sorting,4680,25792.976000000075,5.027999793717897,5.511319658119675,5.119,7.159,12.839
profile_01,2,Tensor / elementwise / indexing,2064,20040.583000000035,3.906646801438743,9.709584786821722,4.399,18.267000000000003,127.52
profile_01,2,Norm / RoPE / KV write,1788,11390.39200000002,2.220406386078362,6.370465324384798,4.559,10.119,15.4
profile_01,2,Quantization / cast,492,3952.654999999997,0.770517854342901,8.033851626016254,5.279,11.155100000000003,42.64
profile_01,2,Sampling / speculative bookkeeping,66,429.777,0.08377934625863608,6.511772727272727,4.539,11.318999999999999,18.879
profile_01,3,MoE expert GEMM,1920,152203.93500000017,29.67034677775511,79.27288281250009,71.0395,112.44,498.203
profile_01,3,Communication / fused allreduce,4095,93343.41900000024,18.196189284799367,22.794485714285774,13.439,44.64699999999999,426.083
profile_01,3,Dense GEMM / linear,6000,88842.62499999962,17.31881302803401,14.807104166666603,11.3595,22.279,130.96
profile_01,3,Attention / MLA,2988,82600.77899999988,16.102039392363316,27.644169678714817,14.439,67.319,70.479
