name,count,total_us,percent_kernel_time,mean_us,p50_us,p90_us,max_us
verify,175392,3431968.8050007257,83.6094511018078,19.567419295068905,7.479,57.4,454.082
draft,18720,398769.73699999985,9.71480824009856,21.301802190170932,5.479,56.479,342.841
draft_extend,6720,191607.9389999998,4.667942955424174,28.513086160714256,5.439,67.68800000000003,498.203
unattributed,3816,82415.31300000004,2.0077977026694542,21.59730424528303,4.319,12.7995,608.244
