Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),3589.15,0.00,5297258.48,,,,,,75.19,,1140.55,3740.30,96593.40,18578.89
Active Decode Throughput Per User (tokens/sec/user),55.45,0.00,89714.46,,,,,,1.03,,27.97,106.69,1428.93,278.48
Active Prefill Throughput (tokens/sec),449529.25,437.60,942650.90,,,,,,460987.55,,567115.58,599891.80,678865.71,109766.40
Active Prefill Throughput Per User (tokens/sec/user),6681.20,437.60,132559.40,,,,,,4034.27,,5945.94,27351.11,57114.53,10350.70
Active Total Throughput (tokens/sec),451357.15,126.85,3326236.82,,,,,,463981.68,,570743.75,603333.09,682335.08,113341.78
Credit-to-Start Latency (ms),2.84,0.24,738.35,37773.71,0.52,0.65,0.71,0.83,1.01,1.44,2.40,5.81,45.78,14.38
Decode Duration (ms),18719.31,0.00,1139368.34,249060480.31,5.53,78.02,165.99,954.80,8881.53,18925.46,44085.05,73310.43,169642.34,38785.40
E2E Output Token Throughput (tokens/sec/user),18.20,0.01,130.08,242198.51,0.36,1.97,3.33,6.24,12.96,24.94,39.99,52.91,77.98,16.73
Effective Concurrency,176.31,0.00,241.00,,,,,,188.00,,215.00,221.00,229.00,49.18
Effective Decode Concurrency,68.42,0.00,123.00,,,,,,70.00,,92.00,98.00,110.00,20.00
Effective Decode Throughput (tokens/sec),3572.51,0.00,5297258.48,,,,,,74.84,,1126.06,3682.20,96556.70,18537.38
Effective Decode Throughput Per User (tokens/sec/user),55.20,0.00,89714.46,,,,,,1.02,,27.03,104.79,1427.50,277.86
Effective Latency (CO-aware) (ms),48236.99,408.53,1142026.46,641793196.45,2792.59,7732.75,16933.06,27495.18,37244.61,55371.99,85600.24,117189.81,225827.09,45361.56
Effective Prefill Concurrency,107.88,0.00,177.00,,,,,,115.00,,143.00,151.00,163.00,37.52
Effective Prefill Throughput (tokens/sec),446494.68,0.00,942650.90,,,,,,460094.20,,566772.82,599456.09,678865.71,115422.04
Effective Prefill Throughput Per User (tokens/sec/user),6636.10,0.00,132559.40,,,,,,4030.17,,5929.46,27237.60,57001.15,10330.20
Effective Total Throughput (tokens/sec),450067.19,0.00,3326236.82,,,,,,463673.11,,570743.75,603333.09,681813.05,115716.10
