gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx942,304,16,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10311,0,6.6293,opus_gemm_gfx942_wkc_accum_512x16x32x32_1x1_16x16x16_0x0x0,0.0197,17.72,1144.28
gfx942,304,24,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10312,0,6.7941,opus_gemm_gfx942_wkc_accum_512x32x16x64_1x1_16x16x16_0x0x0,0.0197,25.93,1134.61
gfx942,304,32,512,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10311,0,6.7757,opus_gemm_gfx942_wkc_accum_512x16x32x32_1x1_16x16x16_0x0x0,0.0205,34.67,1155.83
gfx942,304,1,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,7.116,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0273,2.06,2065.27
gfx942,304,2,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,6.6384,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0166,4.42,2216.32
gfx942,304,4,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,7.0965,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0188,8.27,2077.87
gfx942,304,5,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10311,0,6.9506,opus_gemm_gfx942_wkc_accum_512x16x32x32_1x1_16x16x16_0x0x0,0.0205,10.56,2123.84
gfx942,304,6,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10311,0,7.0283,opus_gemm_gfx942_wkc_accum_512x16x32x32_1x1_16x16x16_0x0x0,0.0215,12.53,2102.69
gfx942,304,8,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,7.3459,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.021,15.99,2016.25
gfx942,304,11,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,7.4506,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.021,21.67,1994.51
gfx942,304,12,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,6.9389,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0206,25.39,2143.95
gfx942,304,16,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10311,0,7.0875,opus_gemm_gfx942_wkc_accum_512x16x32x32_1x1_16x16x16_0x0x0,0.02,33.14,2108.25
gfx942,304,24,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10313,0,9.1212,opus_gemm_gfx942_wkc_accum_256x32x32x64_1x1_16x16x16_0x0x0,0.0204,38.63,1652.55
gfx942,304,32,1024,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10310,0,9.9698,opus_gemm_gfx942_wkc_accum_256x16x16x64_1x1_16x16x16_0x0x0,0.0212,47.12,1525.04
gfx942,304,1,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,903,8,10.6473,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0259,2.76,2759.25
gfx942,304,2,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,904,8,10.4658,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0222,5.61,2808.86
gfx942,304,4,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,620,7,10.956,flydsl_gemm3_abf16_wbf16_bf16_t16x64x128_split_k7_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0265,10.72,2686.55
gfx942,304,5,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,904,8,11.0876,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0216,13.24,2656.33
gfx942,304,6,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,904,8,11.0342,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0215,15.96,2670.85
gfx942,304,8,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,904,8,11.0693,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp1_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0202,21.22,2665.71
gfx942,304,11,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,903,8,11.6473,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.028,27.73,2538.17
gfx942,304,12,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,903,8,11.1566,flydsl_gemm4_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0287,31.58,2651.46
gfx942,304,16,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1063,8,11.3979,flydsl_gemm5_abf16_wbf16_bf16_t16x64x64_split_k8_block_m_warp1_block_n_warp1_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0284,41.21,2601.8
gfx942,304,24,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,opus,10300,0,12.3624,opus_gemm_gfx942_wkc_512x16x16x64_1x1_16x16x16_0x0x0,0.0,57.0,2410.74
gfx942,304,32,2048,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1105,8,13.5557,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k8_block_m_warp1_block_n_warp2_block_k_warp2_async_copyFalse_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx942,0.0281,69.31,2209.4
gfx942,304,210,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.6562,native,0.0,22.26,456.89
gfx942,304,256,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,8.8401,native,0.0,26.57,522.65
gfx942,304,1024,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,12.6202,native,0.0,74.45,1246.31
gfx942,304,15360,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,69.0186,native,0.0,204.19,3232.24
gfx942,304,15605,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,68.739,native,0.0,208.29,3296.94
gfx942,304,16022,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,69.6974,native,0.0,210.92,3338.14
gfx942,304,16069,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,72.8629,native,0.0,202.34,3202.45
gfx942,304,16077,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,73.931,native,0.0,199.52,3157.74
gfx942,304,16092,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,70.6001,native,0.0,209.13,3309.8
gfx942,304,16254,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,69.4129,native,0.0,214.85,3400.17
gfx942,304,16274,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,69.8394,native,0.0,213.8,3383.54
gfx942,304,16287,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,69.5692,native,0.0,214.8,3399.39
gfx942,304,16353,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,70.048,native,0.0,214.2,3389.78
gfx942,304,16382,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,70.0636,native,0.0,214.53,3395.01
gfx942,304,16384,64,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,70.4127,native,0.0,213.49,3378.59
gfx942,304,210,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,13.8679,native,0.0,83.36,625.68
gfx942,304,256,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,14.5143,native,0.0,97.1,645.68
gfx942,304,1024,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,23.7236,native,0.0,237.62,883.99
gfx942,304,15360,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,184.1132,native,0.0,459.27,1289.98
gfx942,304,15605,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,177.8362,native,0.0,483.06,1356.32
