Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),476267.03,0.00,816943.96,,,,,,484446.75,,684873.78,724684.69,790072.02,160565.98
Usage Completion Tokens (tokens),1098.60,8.00,20000.00,249382.00,8.00,12.30,23.00,72.00,223.00,850.00,2900.80,6381.60,10424.56,2399.92
Usage Prompt Cache Read Tokens (tokens),53033.33,15232.00,136576.00,9280832.00,17469.44,22400.00,26073.60,34208.00,48704.00,63872.00,89600.00,99411.20,132715.52,25244.40
Usage Prompt Tokens (tokens),80306.59,17343.00,244921.00,18229596.00,22371.02,29427.60,35041.60,49340.00,67641.00,103421.00,140898.80,156743.10,240708.14,44399.37
Usage Total Tokens (tokens),81405.19,17420.00,245131.00,18478978.00,22812.98,29970.40,36139.60,50540.50,69949.00,106819.50,141507.20,159096.10,241894.88,44595.76

Metric,Value
Benchmark Duration (sec),903.57
Input Token Throughput (tokens/sec),19601.69
Maximum Response Timestamp (ns),1785825693000587264.00
Minimum Request Timestamp (ns),1785824789429022208.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),268.15
Request Count,227.00
Request Throughput (requests/sec),0.24
Theoretical Prefix Cache Hit (%),50.95
Total Input Sequence Length (tokens),18229596.00
Total Output Sequence Length (tokens),249382.00
Total Output Tokens (tokens),249382.00
Total Token Throughput (tokens/sec),19869.84
Total Usage Completion Tokens (tokens),249382.00
Total Usage Prompt Cache Read Tokens (tokens),9280832.00
Total Usage Prompt Tokens (tokens),18229596.00
Total Usage Total Tokens (tokens),18478978.00
