[2026-08-24 19:46:02 TP0] Decode batch, #running-req: 1, #token: 79040, token usage: 0.03, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 102.82, #queue-req: 0
[2026-08-24 19:46:07 TP0] Decode batch, #running-req: 1, #token: 84032, token usage: 0.04, accept len: 4.75, accept rate: 0.75, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 46.42, #queue-req: 0
[2026-08-24 19:46:09 TP0] Decode batch, #running-req: 1, #token: 84992, token usage: 0.04, accept len: 4.80, accept rate: 0.76, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 79.70, #queue-req: 0
[2026-08-24 19:46:19 TP0] Decode batch, #running-req: 1, #token: 64704, token usage: 0.03, accept len: 2.95, accept rate: 0.39, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 11.67, #queue-req: 0
[2026-08-24 19:46:21 TP0] Decode batch, #running-req: 1, #token: 64832, token usage: 0.03, accept len: 3.33, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 91.03, #queue-req: 0
[2026-08-24 19:46:23 TP0] Decode batch, #running-req: 1, #token: 65152, token usage: 0.03, accept len: 5.50, accept rate: 0.90, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 97.25, #queue-req: 0
[2026-08-24 19:46:25 TP0] Decode batch, #running-req: 1, #token: 65536, token usage: 0.03, accept len: 4.05, accept rate: 0.61, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 71.58, #queue-req: 0
[2026-08-24 19:46:27 TP0] Decode batch, #running-req: 1, #token: 65792, token usage: 0.03, accept len: 3.05, accept rate: 0.41, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 55.04, #queue-req: 0
[2026-08-24 19:46:29 TP0] Decode batch, #running-req: 1, #token: 65984, token usage: 0.03, accept len: 4.40, accept rate: 0.68, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 126.36, #queue-req: 0
[2026-08-24 19:46:49 TP0] Decode batch, #running-req: 1, #token: 65792, token usage: 0.03, accept len: 3.25, accept rate: 0.45, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 6.42, #queue-req: 0
