[2026-08-24 23:22:45 TP0] Decode batch, #running-req: 2, #token: 134848, token usage: 0.06, accept len: 4.02, accept rate: 0.38, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 77.27, #queue-req: 0
[2026-08-24 23:22:50 TP0] Decode batch, #running-req: 2, #token: 137344, token usage: 0.06, accept len: 4.05, accept rate: 0.38, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 45.97, #queue-req: 0
[2026-08-24 23:22:51 TP0] Decode batch, #running-req: 2, #token: 137600, token usage: 0.06, accept len: 3.39, accept rate: 0.30, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 150.83, #queue-req: 0
[2026-08-24 23:22:53 TP0] Decode batch, #running-req: 1, #token: 141184, token usage: 0.06, accept len: 4.48, accept rate: 0.44, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 109.89, #queue-req: 0
[2026-08-24 23:22:55 TP0] Decode batch, #running-req: 1, #token: 141760, token usage: 0.06, accept len: 5.56, accept rate: 0.57, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 188.52, #queue-req: 0
[2026-08-24 23:22:57 TP0] Decode batch, #running-req: 1, #token: 71040, token usage: 0.03, accept len: 5.62, accept rate: 0.58, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 185.59, #queue-req: 0
[2026-08-24 23:22:59 TP0] Decode batch, #running-req: 1, #token: 113216, token usage: 0.05, accept len: 4.10, accept rate: 0.39, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 91.93, #queue-req: 0
[2026-08-24 23:23:05 TP0] Decode batch, #running-req: 2, #token: 84160, token usage: 0.04, accept len: 2.88, accept rate: 0.23, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 27.97, #queue-req: 0
[2026-08-24 23:23:06 TP0] Decode batch, #running-req: 2, #token: 84480, token usage: 0.04, accept len: 4.03, accept rate: 0.38, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 181.35, #queue-req: 0
[2026-08-24 23:23:09 TP0] Decode batch, #running-req: 2, #token: 87424, token usage: 0.04, accept len: 4.35, accept rate: 0.42, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 122.27, #queue-req: 0
[2026-08-24 23:23:11 TP0] Decode batch, #running-req: 2, #token: 89984, token usage: 0.04, accept len: 6.59, accept rate: 0.70, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 185.30, #queue-req: 0
[2026-08-24 23:23:15 TP0] Decode batch, #running-req: 1, #token: 101248, token usage: 0.04, accept len: 8.19, accept rate: 0.90, pre-allocated usage: 0.02, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 177.91, #queue-req: 0
[2026-08-24 23:23:16 TP0] Decode batch, #running-req: 1, #token: 121664, token usage: 0.05, accept len: 8.61, accept rate: 0.95, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 243.43, #queue-req: 0
[2026-08-24 23:23:23 TP0] Decode batch, #running-req: 1, #token: 146368, token usage: 0.06, accept len: 8.47, accept rate: 0.93, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 50.49, #queue-req: 0
[2026-08-24 23:23:26 TP0] Decode batch, #running-req: 1, #token: 155968, token usage: 0.07, accept len: 8.38, accept rate: 0.92, pre-allocated usage: 0.03, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 147.38, #queue-req: 0
[2026-08-24 23:23:28 TP0] Decode batch, #running-req: 2, #token: 159680, token usage: 0.07, accept len: 8.90, accept rate: 0.99, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 212.45, #queue-req: 0
[2026-08-24 23:23:32 TP0] Decode batch, #running-req: 2, #token: 167488, token usage: 0.07, accept len: 8.72, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 122.69, #queue-req: 0
[2026-08-24 23:23:35 TP0] Decode batch, #running-req: 1, #token: 91520, token usage: 0.04, accept len: 8.75, accept rate: 0.97, pre-allocated usage: 0.04, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 120.43, #queue-req: 0
[2026-08-24 23:23:37 TP0] Decode batch, #running-req: 1, #token: 188544, token usage: 0.08, accept len: 7.80, accept rate: 0.85, pre-allocated usage: 0.04, #prealloc-req: 0, #transfer-req: 1, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 183.06, #queue-req: 0
