[2026-08-24 23:50:42 TP0] Decode batch, #running-req: 1, #token: 0, token usage: 0.00, accept len: 5.03, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 160.32, #queue-req: 0
[2026-08-24 23:50:44 TP0] Decode batch, #running-req: 1, #token: 43712, token usage: 0.02, accept len: 3.85, accept rate: 0.57, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 83.95, #queue-req: 0
[2026-08-24 23:50:46 TP0] Decode batch, #running-req: 1, #token: 44992, token usage: 0.02, accept len: 5.05, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 109.68, #queue-req: 0
[2026-08-24 23:50:48 TP0] Decode batch, #running-req: 1, #token: 49856, token usage: 0.02, accept len: 6.00, accept rate: 1.00, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.92, #queue-req: 0
[2026-08-24 23:50:50 TP0] Decode batch, #running-req: 1, #token: 51520, token usage: 0.02, accept len: 6.00, accept rate: 1.00, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 126.13, #queue-req: 0
[2026-08-24 23:50:55 TP0] Decode batch, #running-req: 1, #token: 70272, token usage: 0.03, accept len: 5.90, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 51.52, #queue-req: 0
[2026-08-24 23:50:57 TP0] Decode batch, #running-req: 1, #token: 76352, token usage: 0.03, accept len: 5.83, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 87.91, #queue-req: 0
[2026-08-24 23:51:00 TP0] Decode batch, #running-req: 1, #token: 79936, token usage: 0.03, accept len: 5.85, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.64, #queue-req: 0
[2026-08-24 23:51:02 TP0] Decode batch, #running-req: 1, #token: 83840, token usage: 0.04, accept len: 5.78, accept rate: 0.95, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 97.08, #queue-req: 0
[2026-08-24 23:51:05 TP0] Decode batch, #running-req: 1, #token: 91776, token usage: 0.04, accept len: 5.38, accept rate: 0.88, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 68.30, #queue-req: 0
[2026-08-24 23:51:08 TP0] Decode batch, #running-req: 1, #token: 94464, token usage: 0.04, accept len: 5.92, accept rate: 0.98, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 95.87, #queue-req: 0
[2026-08-24 23:51:15 TP0] Decode batch, #running-req: 1, #token: 49792, token usage: 0.02, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 16.84, #queue-req: 0
[2026-08-24 23:51:18 TP0] Decode batch, #running-req: 1, #token: 50752, token usage: 0.02, accept len: 3.12, accept rate: 0.42, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 53.53, #queue-req: 0
[2026-08-24 23:51:19 TP0] Decode batch, #running-req: 1, #token: 50944, token usage: 0.02, accept len: 4.75, accept rate: 0.75, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 147.50, #queue-req: 0
[2026-08-24 23:51:21 TP0] Decode batch, #running-req: 1, #token: 52480, token usage: 0.02, accept len: 5.08, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.71, #queue-req: 0
[2026-08-24 23:51:25 TP0] Decode batch, #running-req: 1, #token: 53696, token usage: 0.02, accept len: 5.60, accept rate: 0.92, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 61.01, #queue-req: 0
[2026-08-24 23:51:27 TP0] Decode batch, #running-req: 1, #token: 59648, token usage: 0.03, accept len: 5.62, accept rate: 0.93, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 90.60, #queue-req: 0
[2026-08-24 23:51:30 TP0] Decode batch, #running-req: 1, #token: 66624, token usage: 0.03, accept len: 4.85, accept rate: 0.77, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 71.51, #queue-req: 0
[2026-08-24 23:51:32 TP0] Decode batch, #running-req: 1, #token: 66816, token usage: 0.03, accept len: 5.15, accept rate: 0.83, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 85.79, #queue-req: 0
[2026-08-24 23:51:34 TP0] Decode batch, #running-req: 1, #token: 67200, token usage: 0.03, accept len: 4.20, accept rate: 0.64, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 78.71, #queue-req: 0
[2026-08-24 23:51:36 TP0] Decode batch, #running-req: 1, #token: 67328, token usage: 0.03, accept len: 3.30, accept rate: 0.46, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.22, #queue-req: 0
[2026-08-24 23:51:38 TP0] Decode batch, #running-req: 1, #token: 67712, token usage: 0.03, accept len: 4.88, accept rate: 0.78, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 91.51, #queue-req: 0
[2026-08-24 23:51:40 TP0] Decode batch, #running-req: 1, #token: 67904, token usage: 0.03, accept len: 4.80, accept rate: 0.76, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.04, #queue-req: 0
[2026-08-24 23:51:42 TP0] Decode batch, #running-req: 1, #token: 69312, token usage: 0.03, accept len: 5.47, accept rate: 0.90, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.80, #queue-req: 0
[2026-08-24 23:51:44 TP0] Decode batch, #running-req: 1, #token: 71936, token usage: 0.03, accept len: 5.05, accept rate: 0.81, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 92.63, #queue-req: 0
[2026-08-24 23:51:47 TP0] Decode batch, #running-req: 1, #token: 77056, token usage: 0.03, accept len: 5.62, accept rate: 0.93, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.21, #queue-req: 0
[2026-08-24 23:51:50 TP0] Decode batch, #running-req: 1, #token: 78656, token usage: 0.03, accept len: 5.78, accept rate: 0.95, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 83.04, #queue-req: 0
[2026-08-24 23:51:58 TP0] Decode batch, #running-req: 1, #token: 54976, token usage: 0.02, accept len: 4.38, accept rate: 0.68, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 20.42, #queue-req: 0
[2026-08-24 23:52:00 TP0] Decode batch, #running-req: 1, #token: 56000, token usage: 0.02, accept len: 4.47, accept rate: 0.69, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 89.95, #queue-req: 0
[2026-08-24 23:52:04 TP0] Decode batch, #running-req: 1, #token: 58048, token usage: 0.02, accept len: 5.72, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 67.73, #queue-req: 0
[2026-08-24 23:52:06 TP0] Decode batch, #running-req: 1, #token: 62144, token usage: 0.03, accept len: 5.72, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 96.78, #queue-req: 0
[2026-08-24 23:52:09 TP0] Decode batch, #running-req: 1, #token: 72000, token usage: 0.03, accept len: 5.67, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 71.29, #queue-req: 0
[2026-08-24 23:52:11 TP0] Decode batch, #running-req: 1, #token: 72256, token usage: 0.03, accept len: 5.72, accept rate: 0.94, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 103.62, #queue-req: 0
[2026-08-24 23:52:14 TP0] Decode batch, #running-req: 1, #token: 73088, token usage: 0.03, accept len: 5.88, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 106.32, #queue-req: 0
[2026-08-24 23:52:21 TP0] Decode batch, #running-req: 1, #token: 49344, token usage: 0.02, accept len: 4.95, accept rate: 0.79, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 25.21, #queue-req: 0
[2026-08-24 23:52:23 TP0] Decode batch, #running-req: 1, #token: 49472, token usage: 0.02, accept len: 3.73, accept rate: 0.55, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 115.07, #queue-req: 0
[2026-08-24 23:52:25 TP0] Decode batch, #running-req: 1, #token: 56064, token usage: 0.02, accept len: 4.25, accept rate: 0.65, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 65.19, #queue-req: 0
[2026-08-24 23:52:27 TP0] Decode batch, #running-req: 1, #token: 59968, token usage: 0.03, accept len: 5.45, accept rate: 0.89, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 99.42, #queue-req: 0
[2026-08-24 23:52:30 TP0] Decode batch, #running-req: 1, #token: 60416, token usage: 0.03, accept len: 5.88, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 114.59, #queue-req: 0
[2026-08-24 23:52:32 TP0] Decode batch, #running-req: 1, #token: 62976, token usage: 0.03, accept len: 5.88, accept rate: 0.97, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 113.61, #queue-req: 0
[2026-08-24 23:52:34 TP0] Decode batch, #running-req: 1, #token: 66624, token usage: 0.03, accept len: 5.83, accept rate: 0.96, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 105.78, #queue-req: 0
[2026-08-24 23:52:36 TP0] Decode batch, #running-req: 1, #token: 72448, token usage: 0.03, accept len: 5.17, accept rate: 0.83, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 78.78, #queue-req: 0
[2026-08-24 23:52:44 TP0] Decode batch, #running-req: 1, #token: 47232, token usage: 0.02, accept len: 3.45, accept rate: 0.49, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 18.23, #queue-req: 0
[2026-08-24 23:52:45 TP0] Decode batch, #running-req: 1, #token: 47424, token usage: 0.02, accept len: 3.38, accept rate: 0.47, pre-allocated usage: 0.00, #prealloc-req: 0, #transfer-req: 0, #retracted-req: 0, cuda graph: True, gen throughput (token/s): 101.63, #queue-req: 0
