Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Completion Tokens (tokens),957.36,1.00,59903.00,10981834.00,9.00,75.50,106.00,178.00,410.00,937.00,2175.00,3606.50,8801.90,2018.66
Usage Prompt Cache Read Tokens (tokens),126858.53,64.00,848640.00,1192343296.00,17534.72,23744.00,28544.00,48960.00,88064.00,144768.00,270720.00,391200.00,644794.88,125936.49
Usage Prompt Tokens (tokens),117628.57,0.00,851008.00,1349317354.00,984.00,2969.00,25432.00,43325.00,79837.00,139653.50,252797.00,379316.00,626014.00,123624.97
Usage Total Tokens (tokens),118585.93,279.00,853171.00,1360299188.00,1096.70,4410.00,25618.00,43873.50,80878.00,140915.00,254749.00,380298.00,629416.50,123988.02

Metric,Value
Benchmark Duration (sec),3629.09
Input Token Throughput (tokens/sec),370691.44
OSL Mismatch Count,119.00
Output Token Throughput (tokens/sec),3016.99
Overall Usage Prompt Cache Read % (%),88.37
Request Count,11471.00
Request Throughput (requests/sec),3.15
Theoretical Prefix Cache Hit (%),96.25
Total Input Sequence Length (tokens),1349317354.00
Total Output Sequence Length (tokens),10981834.00
Total Output Tokens (tokens),10981834.00
Total Token Throughput (tokens/sec),373708.43
Total Usage Completion Tokens (tokens),10981834.00
Total Usage Prompt Cache Read Tokens (tokens),1192343296.00
Total Usage Prompt Tokens (tokens),1349317354.00
Total Usage Total Tokens (tokens),1360299188.00
