rid,session,conversation,trace,turn,source_kind,agent_depth,start_ns,p_rank,d_rank,input_tokens,output_tokens,device_tokens,host_tokens,miss_tokens,ttft_ms,p_queue_ms
86307ac8-dc06-46e5-81d6-a39e7fece459,53a4254a-2df3-4aea-ad2d-4f78c0a31467,5d69b5bc9f47a348d1bcea4e584466876ba1,5d69b5bc9f47a348d1bcea4e584466876ba1,35,weka_main,0,1790184215792510525,7,5,196909,1259,195520,0,1389,33331.779979,28775.43181699002
faae34d0-6405-4f4c-8b38-09c23f3e8993,664dfc29-4139-4c37-80c9-c6d9ee468668,31dd54e63bd3605ad9ab96003ab1ae8f39f3,31dd54e63bd3605ad9ab96003ab1ae8f39f3,55,weka_main,0,1790184216656106083,7,4,157906,666,157312,0,594,32584.635897,28701.995947980322
4a8a1ff2-c7f2-4d12-b1d5-9d8bcc9fa9f2,951d69ca-201f-431c-aa6b-2f166bd22319,5d7e313e1d6839e48cc1f27d00f3ce9bae96,5d7e313e1d6839e48cc1f27d00f3ce9bae96,32,weka_main,0,1790184217187868312,3,6,144448,380,143104,0,1344,3909.238164,1.3966329861432314
37f4333e-0031-4a64-8e7f-4e12e293f407,eedb9b6e-7d17-46d6-b754-3951da34d12d,1a271af3dedd40be2efd413ef35fe7f0f53b::fa:002,1a271af3dedd40be2efd413ef35fe7f0f53b,33,weka_flat,1,1790184217517009963,2,7,298232,1562,292480,0,5752,6019.555662,1.9748660270124674
b40cdc6b-faa6-43bd-9559-814a4ddd7fd7,e5db376b-64fe-4151-8fab-ab2a3b875eef,3e573575f7a9f0d647460e769c0a64e71d59::sa:subagent_006_e076f9e0,3e573575f7a9f0d647460e769c0a64e71d59,15,weka_subagent,1,1790184218129569743,1,2,47411,111,46080,0,1331,3259.043115,0.703592028003186
13981d41-7705-432c-b85e-d4efefb2f452,7e061b09-d593-45d9-a8c9-c4c5ac66ab86,085aacf44ac5428ad3c6b4f6cd431e083832::fa:006,085aacf44ac5428ad3c6b4f6cd431e083832,24,weka_flat,1,1790184218972258981,2,0,728841,249,726016,0,2825,4993.399265,3.637445974163711
2217ac82-1037-44ad-975b-d9e16c88fa79,79c441a3-782d-4b37-a0c4-cbf5edd408d3,61c4d4d16f2ff84b31dc5970560c55d07dc7::fa:001,61c4d4d16f2ff84b31dc5970560c55d07dc7,21,weka_flat,1,1790184219740359385,7,1,84861,321,84160,0,701,29158.840078999998,23942.34252802562
cada6648-e5dc-43c9-8fc7-9861acbada44,a0de794f-77df-41ed-bf85-4926ba1573e0,6c6be4bc5a49a5d1062b8becdbf188480843,6c6be4bc5a49a5d1062b8becdbf188480843,7,weka_main,0,1790184220397281643,5,3,110224,5745,110144,0,80,3830.4775879999997,1.0158480145037174
9dff5e71-625d-4150-b995-98c8f6c8d63a,dfe7598e-0e70-425b-8e58-bb4acc8fd14b,5cbd632dae8626a5743d4a3ce38bd74ff9dc::sa:subagent_006_534be3c4,5cbd632dae8626a5743d4a3ce38bd74ff9dc,7,weka_subagent,1,1790184221092075196,0,5,59917,640,54208,0,5709,4648.1034979999995,0.6893519894219935
00de0cdc-bfc3-4e31-8431-2a103123f057,764125ff-f71f-481c-ada8-29a9c2dbd678,46350c0355fa3f1922abb20cf7f5724bd7cd,46350c0355fa3f1922abb20cf7f5724bd7cd,31,weka_main,0,1790184221379003963,3,4,216756,598,214720,0,2036,3460.458158,1.5223409864120185
