rid,session,conversation,trace,turn,source_kind,agent_depth,start_ns,p_rank,d_rank,input_tokens,output_tokens,device_tokens,host_tokens,miss_tokens,ttft_ms,p_queue_ms
9b37ed16-687b-463c-aa9e-e3af8bff53c6,6e530143-26ba-4219-8147-66b3011d023a,117ebe75819d050f308a0a81647893abd02d::sa:subagent_005_0ae5b9c5,117ebe75819d050f308a0a81647893abd02d,2,weka_subagent,1,1790186455702631230,6,1,40520,113,33472,1280,5768,3751.2306599999997,8.162840967997909
0e0046c3-e135-4e49-aade-8727dbd93c1c,6a64eb87-d14c-49d0-85e9-7855f8e79892,3e573575f7a9f0d647460e769c0a64e71d59::sa:subagent_001_f55cb4b8,3e573575f7a9f0d647460e769c0a64e71d59,0,weka_subagent,1,1790186456861486843,7,2,19785,171,0,0,19785,4868.852019,0.4113449831493199
fe2a9e75-b72f-4654-b346-9657d13e3617,6a64eb87-d14c-49d0-85e9-7855f8e79892,3e573575f7a9f0d647460e769c0a64e71d59::sa:subagent_002_d326cae4,3e573575f7a9f0d647460e769c0a64e71d59,0,weka_subagent,1,1790186456881417113,1,3,19718,128,0,0,19718,4848.960408999999,0.5659239832311869
54c53f7c-8ae4-44aa-a5b0-81653492f908,5dfb6a9e-0b62-40fa-b429-7b18b61a7b25,43eb23b676fb4a9f9bccbc568dbca0d6b352,43eb23b676fb4a9f9bccbc568dbca0d6b352,3,weka_main,0,1790186457996618433,5,4,77815,1320,46144,0,31671,7341.640487,0.6897720159031451
ea8689be-4bf9-453d-a816-c2f3b8f3c311,6e530143-26ba-4219-8147-66b3011d023a,117ebe75819d050f308a0a81647893abd02d::sa:subagent_004_6a00b9ff,117ebe75819d050f308a0a81647893abd02d,6,weka_subagent,1,1790186458680831447,6,5,63370,774,62912,0,458,2227.963758,0.8877799846231937
6d32f004-60cc-4e5d-b3d4-664117fbcb13,4234c45b-f03e-4097-93cf-5f53f71d9a98,457a7bf22f9e6961870d5b356ab2bd780fff,457a7bf22f9e6961870d5b356ab2bd780fff,2,weka_main,0,1790186458782930286,4,6,76153,382,67904,0,8249,3622.430813,0.7727610063739121
ba930165-da2d-4948-94b3-85f2005d2326,38cfdcfe-91d6-40d3-b999-27e68b14dbab,43d1f727aec4d8b3f2aec42f816e7fabe193,43d1f727aec4d8b3f2aec42f816e7fabe193,2,weka_main,0,1790186459527752689,2,7,61511,146,56128,0,5383,2877.413783,0.8133199880830944
b216bb1c-a242-41c8-9462-15371d6f0fc3,6a64eb87-d14c-49d0-85e9-7855f8e79892,3e573575f7a9f0d647460e769c0a64e71d59::sa:subagent_003_e785d2f4,3e573575f7a9f0d647460e769c0a64e71d59,0,weka_subagent,1,1790186459702162948,7,0,19848,103,16384,0,3464,2703.225641,0.9900979930534959
ccfb6dfc-39a4-47b5-a0d1-621615bfe5ad,78f502c1-cc8c-4c4d-8e1f-e239f6d8f4f5,439e5f9ed3159bd826529d8ae5bd1536903f::sa:subagent_001_7aa6c78b,439e5f9ed3159bd826529d8ae5bd1536903f,1,weka_subagent,1,1790186459923106825,3,1,15449,143,14336,0,1113,1807.021151,0.565753027331084
0a4b4725-8814-4326-ba25-8ad7167c5f47,bcac3b8b-b4ef-4f73-a202-f50d93885fd1,3e38b72653e23622c6b15d8ca43aeb167917,3e38b72653e23622c6b15d8ca43aeb167917,2,weka_main,0,1790186460933862423,7,2,53573,19,51008,0,2565,2386.657925,0.5712429992854595
3486d8f8-68dc-4583-b82f-1dca3d22b981,6e530143-26ba-4219-8147-66b3011d023a,117ebe75819d050f308a0a81647893abd02d::sa:subagent_005_0ae5b9c5,117ebe75819d050f308a0a81647893abd02d,3,weka_subagent,1,1790186460934491246,6,3,60609,148,40512,0,20097,5229.349748,0.6419920246116817
944326b3-edc6-4b76-97da-c798124b0f03,4828fd9b-6204-4ff8-aae5-9266ba58aa74,12bd4c7c82ae413b035253cb800fc5312111::sa:subagent_001_65ca2729,12bd4c7c82ae413b035253cb800fc5312111,13,weka_subagent,1,1790186461178346697,6,4,50214,116,48192,0,2022,5911.317032999999,2762.065681978129
