Point,Concurrency,Model,Hardware,Framework,Precision,PrefillWorkers,DecodeWorkers,PrefillTP,DecodeTP,PrefillGPUs,DecodeGPUs,SpecDecoding,DPAttention,DurationS,TokenThroughputPerChip,InputPerChip,OutputPerChip,TotalTokensPerSec,TTFT_p50_s,TTFT_p90_s,ITL_p50_ms,ITL_p90_ms,Interactivity_p50,RecordsProfiled,RecordsTotal,RecordsErrorDropped,TheoreticalCacheHit,RailFaultsBeforeAfter
c080,80,GLM-5.2-MXFP4,mi355x,sglang,fp4,2,1,8,8,16,8,mtp,true,3629.12626,14975.267436249998,14859.7566325,115.51080375,359406.41847,2.41466,6.37717,16.02,23.150000000000002,62.42852,10641,11525,3,0.96615,0/0
c112,112,GLM-5.2-MXFP4,mi355x,sglang,fp4,2,1,8,8,16,8,mtp,true,3627.33756,17581.16330041667,17440.646474999998,140.51682541666665,421947.91921,4.1551,9.52925,17.52,27.400000000000002,57.06568,12529,13772,3,0.96568,0/0
c144,144,GLM-5.2-MXFP4,mi355x,sglang,fp4,2,1,8,8,16,8,mtp,true,3628.48353,18519.347287916666,18365.20062583333,154.14666208333333,444464.33491,10.48102,22.48036,16.830000000000002,32.0,59.4067,13439,15037,3,0.96453,0/0
c192,192,GLM-5.2-MXFP4,mi355x,sglang,fp4,2,1,8,8,16,8,mtp,true,3629.59915,18806.705405,18657.266841666667,149.43856375,451360.92972,26.45807,50.77665,16.47,36.55,60.72455,13305,15433,5,0.965,0/0
c256,256,GLM-5.2-MXFP4,mi355x,sglang,fp4,2,1,8,8,16,8,mtp,true,3629.0893,15618.004439999999,15491.918698333333,126.08574166666666,374832.10656,60.13096,137.23565,17.05,35.44,58.65052,11471,14316,53,0.96251,0/0
