concurrency,ep_size,node254_tpot_ms,node267_tpot_ms,spread_pct
64,1,17.55282599469647,17.51902029979974,0.193
64,4,17.947235371079294,17.976933498494326,0.165
96,1,21.935839933156966,21.999446921702475,0.29
96,4,22.16188762532547,22.374876529164613,0.961
128,1,25.530143473483623,25.791760190110654,1.025
128,4,25.781101753469557,25.91874384433031,0.534
