concurrency,node,local_batch,ep1_tpot_ms,ep4_tpot_ms,ep1_tok_s,ep4_tok_s,tpot_delta_pct
64,254,16,17.55282599469647,17.947235371079294,3646.1365263540697,3566.0088407338485,-2.198
64,267,16,17.51902029979974,17.976933498494326,3653.172318130802,3560.117747855071,-2.547
96,254,24,21.935839933156966,22.16188762532547,4376.399549437442,4331.760977358991,-1.02
96,267,24,21.999446921702475,22.374876529164613,4363.74606787482,4290.526469492176,-1.678
128,254,32,25.530143473483623,25.781101753469557,5013.68118565196,4964.87703372778,-0.973
128,267,32,25.791760190110654,25.91874384433031,4962.825299883142,4938.51093898595,-0.49
