arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p50,7400,320,1,10,0.35,111.02,2678.24,255.29,1148.93,7.92,2782.34
p50,7400,320,8,80,1.75,561.04,13535.07,1064.73,1960.21,10.81,4623.09
p50,7400,320,16,160,3.01,962.55,23221.47,743.67,3781.98,12.36,5444.69
p50,7400,320,24,240,4.35,1391.15,33561.61,619.42,5608.64,13.11,4012.84
