arm,isl,osl,conc,completed,req_s,out_tok_s,total_tok_s,ttft_p50_ms,ttft_p99_ms,tpot_mean_ms,e2e_p50_ms
p90,15500,3300,1,10,0.04,123.06,701.07,322.68,366.94,8.03,26824.86
p90,15500,3300,8,80,0.25,837.26,4769.86,1237.36,2170.29,9.18,31729.18
p90,15500,3300,16,160,0.46,1509.46,8599.36,687.82,4273.34,10.14,34974.11
p90,15500,3300,24,240,0.65,2144.90,12219.41,1218.50,6477.66,10.62,35386.33
