Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Tokens In Flight (tokens),521302.35,0.00,813616.57,,,,,,525980.26,,695947.51,718908.44,789039.45,141331.62
Usage Completion Tokens (tokens),1121.38,8.00,20000.00,196242.00,8.00,12.70,26.00,74.00,223.00,876.50,2840.40,6241.60,11861.84,2504.85
Usage Prompt Cache Read Tokens (tokens),51940.43,15232.00,133568.00,6752256.00,17354.24,22688.00,24883.20,34352.00,48128.00,62672.00,87270.40,96972.80,125845.12,23587.81
Usage Prompt Tokens (tokens),77955.91,17343.00,244919.00,13642285.00,21725.14,27241.60,35379.60,49340.50,65916.00,98146.50,128041.20,158137.00,230133.66,42682.45
Usage Total Tokens (tokens),79077.30,17420.00,245098.00,13838527.00,22884.30,27707.00,36752.40,50541.00,67860.00,98229.00,128113.60,158276.70,237992.28,42812.39

Metric,Value
Benchmark Duration (sec),926.63
Completed Requests (Success + Error),176.00
Context Overflow Count,0.00
Error Request Count,1.00
Input Token Throughput (tokens/sec),14669.11
Maximum Response Timestamp (ns),1785827531737347584.00
Minimum Request Timestamp (ns),1785826605109063680.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),211.01
Request Count,175.00
Request Error Rate (%),0.57
Request Throughput (requests/sec),0.19
Theoretical Prefix Cache Hit (%),49.53
Total Input Sequence Length (tokens),13642285.00
Total Output Sequence Length (tokens),196242.00
Total Output Tokens (tokens),196242.00
Total Token Throughput (tokens/sec),14880.12
Total Usage Completion Tokens (tokens),196242.00
Total Usage Prompt Cache Read Tokens (tokens),6752256.00
Total Usage Prompt Tokens (tokens),13642285.00
Total Usage Total Tokens (tokens),13838527.00
