dpa,ep_size,concurrency,status,tpot_ms,output_tokens_per_second,decode_seconds,launch_wall_seconds,realized_accept_length,verify_iterations
on,1,4,pass,6.245638818759471,640.4468967986998,62.45638818759471,958,3.6134393063583814,2768
on,1,8,pass,7.814737337362021,1023.7068316745905,78.14737337362021,171,3.6134393063583814,2768
on,1,16,pass,9.821627188567073,1629.0579649189801,98.21627188567072,190,3.6134393063583814,2768
on,1,20,pass,10.714399154949934,1866.6469029913098,107.14399154949933,196,3.6134393063583814,2768
on,1,24,pass,11.361972574423998,2112.309270489213,113.61972574423999,203,3.6134393063583814,2768
on,1,32,pass,12.757144562341272,2508.3983209270114,127.57144562341273,219,3.6134393063583814,2768
on,1,40,pass,14.3613898829557,2785.24574055834,143.613898829557,237,3.6134393063583814,2768
on,1,48,pass,15.429530137684196,3110.9178031784368,154.29530137684196,259,3.6134393063583814,2768
