request_index,success,input_tokens,output_tokens,start_time_monotonic_s,e2e_ms,ttft_ms,tpot_ms,decode_tokens_s,e2e_tokens_s,pass_70,pass_80,itl_p50_ms,itl_p90_ms,itl_p99_ms,raw_chunk_gap_p90_ms,raw_chunk_gap_p99_ms,itl_samples
0,True,10000,500,3898127.655320062,6796.4293523691595,57.74891097098589,13.504369622040429,74.05010585373077,73.56804199336017,True,False,12.390743708238006,16.452129712949198,16.598508708799873,49.71102522686124,50.322810243815184,499
1,True,10000,500,3898127.656030275,6847.177644260228,77.27003190666437,13.566949122953034,73.70853910759976,73.02278777871845,True,False,12.389116338454187,16.461401867369812,17.0817490046223,49.847784359008074,51.14213334396481,499
2,True,10000,500,3898127.6564491,6846.840738784522,76.8868769519031,13.567041807279796,73.70803556184374,73.02638093620416,True,False,12.386716320179403,16.463955709089834,17.102056027700502,49.850114062428474,51.17950310930609,499
3,True,10000,500,3898127.656860806,6846.304554026574,76.42147084698081,13.56689996629177,73.70880617418817,73.03210017233762,True,False,12.390718795359135,16.46130857989192,17.07437929386894,49.852320086210966,51.12800143659114,499
4,True,10000,500,3898127.657223983,6846.0246860049665,76.09391398727894,13.566995535105587,73.70828695361676,73.03508575160829,True,False,12.391006341204047,16.458765758822363,17.10990568002065,49.836323875933886,51.19587766006588,499
5,True,10000,500,3898127.657576129,6845.831098034978,75.81235701218247,13.567171825696985,73.70732919486903,73.0371510543869,True,False,12.386703747324646,16.474122026314337,17.11900858208537,49.89374354481697,51.21796276420354,499
6,True,10000,500,3898127.657921365,6845.1992850750685,75.34232316538692,13.566847619057478,73.7090905771869,73.04389239480216,True,False,12.392451171763241,16.45902885744969,17.074396057675283,49.820244032889605,51.12760212272405,499
7,True,10000,500,3898127.658268792,6845.177694689482,75.21069282665849,13.56706814000566,73.70789249972638,73.04412278265649,True,False,12.384671252220869,16.473375260829926,17.125481894860666,49.9076409265399,51.22184919193386,499
8,True,10000,500,3898127.658650088,6844.869897700846,74.86782688647509,13.567138418465673,73.70751068913259,73.04740739746525,True,False,12.384958798065782,16.476981962720554,17.11478891472022,49.91467297077179,51.20096947997808,499
9,True,10000,500,3898127.658999074,6844.081636983901,74.24424402415752,13.566808402724938,73.70930364131527,73.05582056445832,True,False,12.392271193675697,16.458135719100635,17.068269196897745,49.8054089024663,51.115654818713665,499
10,True,10000,500,3898127.659352921,6843.245915137231,73.69882892817259,13.566226625669456,73.71246460735377,73.06474240447828,True,False,12.393291224725544,16.45492234577735,17.020073253661394,49.73462503403425,50.97007658332586,499
11,True,10000,500,3898127.659701777,6843.627250753343,73.65132961422205,13.567086014306856,73.707795391396,73.06067114408667,True,False,12.386383954435587,16.46717203160127,17.108389021207888,49.86390583217144,51.191817186772816,499
12,True,10000,500,3898127.660050074,6842.920477967709,73.14968388527632,13.566674938040947,73.71002877027743,73.06821723412689,True,False,12.39086373243481,16.45983538279931,17.130105445782345,49.80058064684272,51.17395125329494,499
13,True,10000,500,3898127.66039153,6842.519951984286,72.68742006272078,13.566798661165462,73.70935656784447,73.07249427237743,True,False,12.393508804962039,16.45454904064536,17.117048613727093,49.72962746396661,51.16384366527199,499
14,True,10000,500,3898127.660766166,6842.269714921713,72.45719200000167,13.56675856296936,73.70957442476441,73.07516669645356,True,False,12.393106240779161,16.459502279758453,17.106409029414255,49.780427012592554,51.187406908720725,499
15,True,10000,500,3898127.661110493,6842.25741494447,72.26090412586927,13.56712727618958,73.7075712229079,73.07529805995436,True,False,12.386608752422035,16.466548666357994,17.112492428471644,49.87902566790581,51.205163914710276,499
16,True,10000,500,3898127.661455289,6842.027808073908,72.04507617279887,13.567099663128475,73.70772123961882,73.07775034325013,True,False,12.411860981956124,16.52040844783187,16.969930691023666,49.991131108254194,50.938654728233814,499
17,True,10000,500,3898127.661795026,6842.532821930945,71.96974661201239,13.568262675989844,73.70140333217326,73.07235683217392,True,False,12.414438533596694,16.517315059900284,17.270307367046673,49.9860305339098,51.50252757593988,499
