point,concurrency,repeat,num_requests,completed,errors,duration_s,output_tokens_s,request_throughput,observed_client_concurrency,native_accept_length_cumulative,tpot_ms_mean,tpot_ms_p50,tpot_ms_p90,tpot_ms_p95,tpot_ms_p99,tpot_ms_max,itl_ms_mean,itl_ms_p50,itl_ms_p90,itl_ms_p95,itl_ms_p99,itl_ms_max,ttft_ms_mean,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99,ttft_ms_max,e2e_ms_mean,e2e_ms_p50,e2e_ms_p90,e2e_ms_p95,e2e_ms_p99,e2e_ms_max,raw_chunk_gap_ms_mean,raw_chunk_gap_ms_p50,raw_chunk_gap_ms_p90,raw_chunk_gap_ms_p95,raw_chunk_gap_ms_p99,raw_chunk_gap_ms_max,mean_tokens_per_chunk_after_first,decode_tokens_s_p50,decode_tokens_s_p10,e2e_tokens_s_p50,slo_70_pass_requests,slo_70_pass_fraction,slo_70_goodput_tokens_s,slo_70_goodput_requests_s,slo_70_p50_pass,slo_70_p90_pass,itl_70_p90_pass,slo_80_pass_requests,slo_80_pass_fraction,slo_80_goodput_tokens_s,slo_80_goodput_requests_s,slo_80_p50_pass,slo_80_p90_pass,itl_80_p90_pass,all_sampled_cuda_graph,max_sampled_retractions
sweep_c01_r01,1,1,128,128,0,267.2661784668453,239.4616496824692,0.4789232993649384,0.9996774320806471,3.609512722434725,4.156675406357281,4.159989997740827,4.213492044682552,4.237995724350528,4.267927767253502,4.2766259837604474,4.156652576275957,3.75170586630702,4.995252626637618,5.02814087861528,5.159267534812291,15.874640084803104,13.162464194465429,13.216436607763171,13.668333040550351,13.761057169176638,14.764262014068667,15.350965317338705,2087.343491966749,2088.951221900061,2115.8739492297173,2128.0849523376673,2142.7698203455657,2146.855835802853,14.955707151413806,14.888134552165866,15.123693831264973,15.206949249841273,15.634809010662151,30.734098982065916,3.598017124831005,240.38519584505752,237.3328366927874,239.35456198631917,128,1.0,239.4616496824692,0.4789232993649384,True,True,True,128,1.0,239.4616496824692,0.4789232993649384,True,True,True,True,0
sweep_c02_r01,2,1,128,128,0,161.38637174712494,396.563844314445,0.79312768862889,1.9992095227218716,3.6103283780785445,4.992052217442584,4.988670291263379,5.099273741596149,5.117829103920541,5.2273024964185515,5.267981416499149,4.9920318280805125,4.529051715508103,6.021394611646732,6.081995399047931,6.284366361796856,24.02236731722951,29.63134376477683,18.789029913023114,25.158433569595218,25.82975346595049,505.69052861072385,683.9266587048769,2520.6654002686264,2510.1850701030344,2568.3365332894027,2580.8085249504074,3014.704172895292,3151.2715159915388,17.98471752062488,17.88941863924265,18.315384909510612,18.436669651418924,18.969495967030525,45.02267483621836,3.602684866602741,200.45421766427575,196.10635829993376,199.188543814561,128,1.0,396.563844314445,0.79312768862889,True,True,True,128,1.0,396.563844314445,0.79312768862889,True,True,True,True,0
sweep_c04_r01,4,1,128,128,0,94.13312938855961,679.8881585655453,1.3597763171310904,3.9973182926056916,3.6113299672640515,5.846291858546181,5.85574886382731,5.928171474210365,5.945879993876274,5.958581665812623,5.972859865886893,5.84627201476428,5.289006512612104,7.037311342234413,7.085358413557212,7.344445679336786,22.75559026747942,22.38848793786019,20.438869018107653,32.34375170432031,32.798706367611885,33.300275672227144,33.83451793342829,2939.6881253524043,2940.409376518801,2980.684779956937,2989.7279612952843,3005.9712464921176,3006.135153118521,21.090826666310317,20.980607718229294,21.33719651028514,21.461660973727703,22.185164261609287,85.03442024812102,3.607568483479243,170.77243275270618,168.68609043269495,170.0443558262216,128,1.0,679.8881585655453,1.3597763171310904,True,True,True,128,1.0,679.8881585655453,1.3597763171310904,True,True,True,True,0
sweep_c08_r01,8,1,128,128,0,61.11057970812544,1047.2818341058933,2.0945636682117867,7.992423556163634,3.6120808164965634,7.5706624440339185,7.5560391694867235,7.702742249355885,7.992540974308081,8.000125209670253,8.000206392639146,7.570649833312103,6.865533243399113,9.101368300616741,9.25168969358007,9.54894038538138,100.579300429672,38.033477849239716,39.836172480136156,41.45609447732568,41.92725885659456,42.55143388174474,42.76892822235823,3815.7940374221653,3804.825902916491,3884.3552405945957,4009.50357504189,4019.451903742738,4020.338194910437,27.3008438433441,27.006652671843767,27.93741491623223,28.169434005394578,28.789512566290796,301.737901289016,3.6061427280939475,132.34447298155493,129.8238948751198,131.41231005248642,128,1.0,1047.2818341058933,2.0945636682117867,True,True,True,128,1.0,1047.2818341058933,2.0945636682117867,True,True,True,True,0
sweep_c16_r01,16,1,128,128,0,35.34937495877966,1810.4987733058751,3.62099754661175,15.972223938922827,3.613498567526151,8.750244579884505,8.744220193830095,8.90623043563762,8.906596534762285,8.90690940646884,8.941560218442895,8.75023375861083,7.948888291139156,10.554591349015633,10.643317364156246,10.84908055452009,33.4476251155138,44.628993251535576,45.36030883900821,48.807238368317485,49.333694810047746,50.16668822616339,50.26738718152046,4411.001038613904,4402.542152442038,4489.416894828901,4492.207892052829,4494.00400432758,4494.189566001296,31.58312221010347,31.50883107446134,32.09477989003062,32.33989956788719,33.28354035038501,61.5558079443872,3.609403254972875,114.3613232583688,112.28094840423609,113.57116266318738,128,1.0,1810.4987733058751,3.62099754661175,True,True,True,128,1.0,1810.4987733058751,3.62099754661175,True,True,True,True,0
confirm_c32_r01,32,1,512,512,0,95.81718240771443,2671.754622367073,5.343509244734146,31.95452081973945,3.6132079663713195,11.872617202945133,11.879107369882668,12.040768870299976,12.11059767527054,12.126429967333998,12.14065351514127,11.87260539536364,10.686286957934499,14.199513321121534,14.276722290863594,15.004551969468594,53.25369397178292,55.62680896491656,57.22430511377752,65.97903710789979,67.28308494202793,69.20468937139958,71.37050619348884,5980.062793234538,5989.433738170192,6070.005747070536,6098.0782207567245,6101.945512839593,6103.5761358216405,42.64876632384272,42.441141325980425,42.96681610867381,43.17664192058146,46.140454513952136,102.12781187146902,3.5921994291579376,84.18140933287563,83.05117478580512,83.48034587230403,512,1.0,2671.754622367073,5.343509244734146,True,True,True,512,1.0,2671.754622367073,5.343509244734146,True,True,False,True,0
confirm_c32_r02,32,2,512,512,0,96.15466210758314,2662.377407281335,5.324754814562669,31.936067275410622,3.609102082157341,11.90633061631485,11.952629972170882,12.08806896128716,12.099852712726022,12.117572466344509,12.128983920100396,11.9063199075834,10.696356766857207,14.198905322700739,14.27758764475584,14.90280901392301,49.25712803378701,56.400705881060276,58.17774613387883,66.5805622469634,72.16500847134739,75.54783270694315,76.95656502619386,5997.659683422171,6019.179152557626,6089.072985807434,6095.520742423832,6113.154866555706,6116.931663360447,42.632010715017834,42.42584714666009,42.99533199518919,43.26572883874178,45.832928493618965,85.8998610638082,3.5806202962734575,83.66359557150288,82.72619913111532,83.06780516820103,512,1.0,2662.377407281335,5.324754814562669,True,True,True,512,1.0,2662.377407281335,5.324754814562669,True,True,False,True,0
sweep_full_c32_r01,32,1,256,256,0,47.667376541066915,2685.274694942023,5.3705493898840455,31.93944952506495,3.6132001882859255,11.803744980726353,11.848896555229274,12.02161866706798,12.023727930027745,12.034809126430947,12.060523482939164,11.80373444375088,10.669007198885083,14.189286778370539,14.262222219258547,14.823974929749962,45.850786846131086,57.07878206158057,59.68654598109424,65.03379810601473,66.08528993092477,69.02038434054703,69.91175888106227,5947.147527444031,5970.364935928956,6055.050179827958,6058.661848655902,6062.899928004481,6064.252603799105,42.61045730868716,42.43058105930686,42.88901649415493,43.05460397154093,45.126911560073495,86.19043882936239,3.609913244976969,84.39604442038562,83.18347368198116,83.74697449542515,256,1.0,2685.274694942023,5.3705493898840455,True,True,True,256,1.0,2685.274694942023,5.3705493898840455,True,True,False,True,0
confirm_c40_r01,40,1,640,640,0,111.08775730477646,2880.6054579179167,5.761210915835834,39.94667001872125,3.611904906812234,13.763660671867331,13.751054608182821,13.976682488991317,14.114979269236834,14.131225850741064,14.141256806211087,13.763649714333487,12.415992561727762,16.500491679956514,16.58197771757841,17.02949668591221,62.53063213080168,65.66142500960268,66.56565307639539,77.48037511482835,85.98641657736145,93.43944986350834,96.20459005236626,6933.728100271401,6922.58770740591,7040.261811716482,7102.137340023182,7105.511064338498,7107.086726929992,49.52184737234726,49.31953037157655,49.90367344580591,50.144773558713496,58.421333259902894,116.21246207505465,3.598017124831005,72.72169506451694,71.54773679586822,72.2273261294464,640,1.0,2880.6054579179167,5.761210915835834,True,True,False,0,0.0,0.0,0.0,False,False,False,True,0
confirm_c40_r02,40,2,640,640,0,110.17321013426408,2904.5173469124447,5.80903469382489,39.93995424012896,3.612909198071145,13.641127769503777,13.588283865624863,13.914680324087968,13.930900880734702,13.984345716390692,13.984862276407066,13.641117243199467,12.394279998261482,16.47029910236597,16.553304623812437,16.774829011410475,67.9870368912816,68.56626059670816,69.12579596973956,83.56076958589256,93.32358308602123,103.3959641866386,106.34509660303593,6875.489017579093,6849.221968324855,7014.415198843926,7022.124967351556,7027.29084410239,7029.104821383953,49.43968408448161,49.27928256802261,49.86729170195758,50.09553930722177,53.290887176990516,106.52747517451644,3.6243134050569705,73.59281719739874,71.86654502374452,73.00099227649534,640,1.0,2904.5173469124447,5.80903469382489,True,True,False,0,0.0,0.0,0.0,False,False,False,True,0
