dpa,concurrency,status,tpot_ms,output_tokens_per_second,decode_seconds,launch_wall_seconds,realized_accept_length,verify_iterations
off,4,pass,6.150485536899941,650.3551591174278,61.504855368999415,153,3.6134393063583814,2768
off,8,pass,7.99908359490073,1000.1145637607605,79.9908359490073,163,3.6134393063583814,2768
off,16,pass,10.286110925300454,1555.4955722522159,102.86110925300454,185,3.6134393063583814,2768
off,20,pass,11.667058517300756,1714.2281381671787,116.67058517300757,208,3.6134393063583814,2768
off,24,pass,12.632195279200095,1899.9072979435246,126.32195279200096,217,3.6134393063583814,2768
on,4,pass,7.199073620900163,555.6270446224225,71.99073620900162,153,3.6134393063583814,2768
on,8,pass,8.870461466099368,901.8696525061239,88.70461466099368,168,3.6134393063583814,2768
on,16,pass,10.98085749430029,1457.0811075824397,109.8085749430029,191,3.6134393063583814,2768
on,20,pass,11.807832517800852,1693.7909620456655,118.07832517800853,198,3.6134393063583814,2768
on,24,pass,12.276834153399978,1954.9013776775164,122.76834153399977,214,3.6134393063583814,2768
